version,2.3.0
info,balls_per_over,6
info,team,Pakistan
info,team,Australia
info,team_type,international
info,gender,female
info,season,2022/23
info,date,2023/01/18
info,event,Pakistan Women tour of Australia
info,match_id,1345093
info,match_type,ODI
info,match_type_number,1310
info,overs,50
info,match_number,2
info,venue,"Allan Border Field, Brisbane"
info,city,Brisbane
info,toss_winner,Pakistan
info,toss_decision,bat
info,player_of_match,D Brown
info,umpire,MW Graham-Smith
info,umpire,SAJ Craig
info,reserve_umpire,Eloise Sheridan
info,tv_umpire,CA Polosak
info,match_referee,RW Stratford
info,target_overs,2,50
info,target_runs,2,126
info,winner,Australia
info,winner_wickets,10
info,player,Pakistan,Muneeba Ali
info,player,Pakistan,Sidra Ameen
info,player,Pakistan,Bismah Maroof
info,player,Pakistan,Umaima Sohail
info,player,Pakistan,Nida Dar
info,player,Pakistan,Aliya Riaz
info,player,Pakistan,Sidra Nawaz
info,player,Pakistan,Fatima Sana
info,player,Pakistan,Kainat Imtiaz
info,player,Pakistan,Diana Baig
info,player,Pakistan,Sadia Iqbal
info,player,Australia,BL Mooney
info,player,Australia,P Litchfield
info,player,Australia,MM Lanning
info,player,Australia,EA Perry
info,player,Australia,TM McGrath
info,player,Australia,A Gardner
info,player,Australia,A Sutherland
info,player,Australia,JL Jonassen
info,player,Australia,A King
info,player,Australia,KJ Garth
info,player,Australia,D Brown
info,registry,people,A Gardner,bc969efb
info,registry,people,A King,83558266
info,registry,people,A Sutherland,65d9b6b6
info,registry,people,Aliya Riaz,2904b4b6
info,registry,people,BL Mooney,52d1dbc8
info,registry,people,Bismah Maroof,3b770527
info,registry,people,CA Polosak,26a360d2
info,registry,people,D Brown,2e81be88
info,registry,people,Diana Baig,a51e6c6e
info,registry,people,EA Perry,be150fc8
info,registry,people,Eloise Sheridan,d8d43840
info,registry,people,Fatima Sana,ea9c54de
info,registry,people,JL Jonassen,0475a86b
info,registry,people,KJ Garth,0b69a844
info,registry,people,Kainat Imtiaz,9714e764
info,registry,people,MM Lanning,27e003ce
info,registry,people,MW Graham-Smith,18aca3ce
info,registry,people,Muneeba Ali,86fdf668
info,registry,people,Nida Dar,ed840f44
info,registry,people,P Litchfield,4e6ef14f
info,registry,people,RW Stratford,85489579
info,registry,people,SAJ Craig,689f2eed
info,registry,people,Sadia Iqbal,53bb50f0
info,registry,people,Sidra Ameen,72c9ad99
info,registry,people,Sidra Nawaz,ca3ded6f
info,registry,people,TM McGrath,ca5acfa4
info,registry,people,Umaima Sohail,821d7d46
