version,2.3.0
info,balls_per_over,6
info,team,West Indies
info,team,United Arab Emirates
info,team_type,international
info,gender,male
info,season,2023
info,date,2023/06/06
info,event,West Indies tour of United Arab Emirates
info,match_id,1377006
info,match_type,ODI
info,match_type_number,4582
info,overs,50
info,match_number,2
info,venue,Sharjah Cricket Stadium
info,city,Sharjah
info,toss_winner,West Indies
info,toss_decision,bat
info,player_of_match,J Charles
info,umpire,Ahsan Raza
info,umpire,Shiju Sam
info,reserve_umpire,Aasif Iqbal
info,tv_umpire,Akbar Ali
info,match_referee,J Srinath
info,target_overs,2,50
info,target_runs,2,307
info,winner,West Indies
info,winner_runs,78
info,player,West Indies,BA King
info,player,West Indies,J Charles
info,player,West Indies,SSJ Brooks
info,player,West Indies,KU Carty
info,player,West Indies,RL Chase
info,player,West Indies,SD Hope
info,player,West Indies,KAR Hodge
info,player,West Indies,Y Cariah
info,player,West Indies,OF Smith
info,player,West Indies,DC Drakes
info,player,West Indies,Akeem Jordan
info,player,United Arab Emirates,Waseem Muhammad
info,player,United Arab Emirates,A Sharma
info,player,United Arab Emirates,V Aravind
info,player,United Arab Emirates,Lovepreet Singh
info,player,United Arab Emirates,Asif Khan
info,player,United Arab Emirates,Basil Hameed
info,player,United Arab Emirates,Ali Naseer
info,player,United Arab Emirates,Aayan Afzal Khan
info,player,United Arab Emirates,SM Sharma
info,player,United Arab Emirates,Adhitya Shetty
info,player,United Arab Emirates,Zahoor Khan
info,registry,people,A Sharma,5661ef90
info,registry,people,Aasif Iqbal,42c41e1a
info,registry,people,Aayan Afzal Khan,d2d15439
info,registry,people,Adhitya Shetty,94759472
info,registry,people,Ahsan Raza,e0e5b209
info,registry,people,Akbar Ali,e753931d
info,registry,people,Akeem Jordan,77bf0483
info,registry,people,Ali Naseer,f5715b48
info,registry,people,Asif Khan,074acfb4
info,registry,people,BA King,7fca84b7
info,registry,people,Basil Hameed,adbf0400
info,registry,people,DC Drakes,34b332d3
info,registry,people,Ethan D'Souza,31ca7a9c
info,registry,people,J Charles,09a9d073
info,registry,people,J Srinath,bad31fac
info,registry,people,KAR Hodge,49dc9cb4
info,registry,people,KU Carty,6020a3c6
info,registry,people,Lovepreet Singh,3c00e140
info,registry,people,OF Smith,23cca426
info,registry,people,RL Chase,3feda4fa
info,registry,people,SD Hope,1fc6ef83
info,registry,people,SM Sharma,cec44e08
info,registry,people,SSJ Brooks,977b841a
info,registry,people,Shiju Sam,1e2f3eae
info,registry,people,V Aravind,cddafe26
info,registry,people,Waseem Muhammad,6f02fe2a
info,registry,people,Y Cariah,78bb68d4
info,registry,people,Zahoor Khan,f0e293b0
