version,2.3.0
info,balls_per_over,6
info,team,Zimbabwe
info,team,United States of America
info,team_type,international
info,gender,male
info,season,2023
info,date,2023/06/26
info,event,ICC Cricket World Cup Qualifier
info,match_id,1377762
info,match_type,ODI
info,match_type_number,4601
info,overs,50
info,match_number,17
info,venue,Harare Sports Club
info,city,Harare
info,toss_winner,United States of America
info,toss_decision,field
info,player_of_match,SC Williams
info,umpire,MJ Saggers
info,umpire,SJ Nogajski
info,reserve_umpire,Ahmed Shah Pakteen
info,tv_umpire,Asif Yaqoob
info,match_referee,Muhammad Javed
info,target_overs,2,50
info,target_runs,2,409
info,winner,Zimbabwe
info,winner_runs,304
info,player,Zimbabwe,J Gumbie
info,player,Zimbabwe,I Kaia
info,player,Zimbabwe,SC Williams
info,player,Zimbabwe,Sikandar Raza
info,player,Zimbabwe,RP Burl
info,player,Zimbabwe,LM Jongwe
info,player,Zimbabwe,T Marumani
info,player,Zimbabwe,B Evans
info,player,Zimbabwe,W Madhevere
info,player,Zimbabwe,WP Masakadza
info,player,Zimbabwe,R Ngarava
info,player,United States of America,SR Taylor
info,player,United States of America,SJ Modani
info,player,United States of America,MD Patel
info,player,United States of America,Aaron Jones
info,player,United States of America,G Singh
info,player,United States of America,Shayan Jahangir
info,player,United States of America,AA Paradkar
info,player,United States of America,NK Patel
info,player,United States of America,Jasdeep Singh
info,player,United States of America,NP Kenjige
info,player,United States of America,Usman Rafiq
info,registry,people,AA Paradkar,96f5b685
info,registry,people,Aaron Jones,17aa4f1d
info,registry,people,Ahmed Shah Pakteen,43602937
info,registry,people,Asif Yaqoob,6b35790c
info,registry,people,B Evans,e7e86505
info,registry,people,G Singh,e93b6c95
info,registry,people,I Kaia,5ad8c974
info,registry,people,J Gumbie,c8d74c21
info,registry,people,Jasdeep Singh,5ec41cd7
info,registry,people,LM Jongwe,b8704508
info,registry,people,MD Patel,25d7f1ac
info,registry,people,MJ Saggers,402d5937
info,registry,people,Muhammad Javed,bde2d0ea
info,registry,people,NK Patel,c6e10e5c
info,registry,people,NP Kenjige,f7d267f7
info,registry,people,R Ngarava,6e3f5a5c
info,registry,people,RP Burl,b08252b8
info,registry,people,SC Williams,afe57f7a
info,registry,people,SJ Modani,290cba17
info,registry,people,SJ Nogajski,9b3f9323
info,registry,people,SR Taylor,a9231c3f
info,registry,people,Shayan Jahangir,571e1d2a
info,registry,people,Sikandar Raza,26d041c4
info,registry,people,T Marumani,3d5d51a5
info,registry,people,Usman Rafiq,d3c260a6
info,registry,people,W Madhevere,a879b92c
info,registry,people,WP Masakadza,4bc0a378
