version,2.3.0
info,balls_per_over,6
info,team,Australia
info,team,Pakistan
info,team_type,international
info,gender,male
info,season,2024/25
info,date,2024/11/08
info,event,Pakistan tour of Australia
info,match_id,1426550
info,match_type,ODI
info,match_type_number,4801
info,overs,50
info,match_number,2
info,venue,Adelaide Oval
info,city,Adelaide
info,toss_winner,Pakistan
info,toss_decision,field
info,player_of_match,Haris Rauf
info,umpire,CB Gaffaney
info,umpire,SJ Nogajski
info,reserve_umpire,DM Koch
info,tv_umpire,CM Brown
info,match_referee,Dave Gilbert
info,target_overs,2,50
info,target_runs,2,164
info,winner,Pakistan
info,winner_wickets,9
info,player,Australia,MW Short
info,player,Australia,J Fraser-McGurk
info,player,Australia,SPD Smith
info,player,Australia,JP Inglis
info,player,Australia,M Labuschagne
info,player,Australia,AM Hardie
info,player,Australia,GJ Maxwell
info,player,Australia,PJ Cummins
info,player,Australia,MA Starc
info,player,Australia,A Zampa
info,player,Australia,JR Hazlewood
info,player,Pakistan,Saim Ayub
info,player,Pakistan,Abdullah Shafique
info,player,Pakistan,Babar Azam
info,player,Pakistan,Mohammad Rizwan
info,player,Pakistan,Kamran Ghulam
info,player,Pakistan,Agha Salman
info,player,Pakistan,Irfan Khan
info,player,Pakistan,Shaheen Shah Afridi
info,player,Pakistan,Naseem Shah
info,player,Pakistan,Haris Rauf
info,player,Pakistan,Mohammad Hasnain
info,registry,people,A Zampa,14f96089
info,registry,people,AM Hardie,d405c0d5
info,registry,people,Abdullah Shafique,fc2fffb5
info,registry,people,Agha Salman,89c16049
info,registry,people,Babar Azam,8a75e999
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,CM Brown,448f4f1c
info,registry,people,DM Koch,6d10c034
info,registry,people,Dave Gilbert,aa782370
info,registry,people,GJ Maxwell,b681e71e
info,registry,people,Haris Rauf,24bb1c2f
info,registry,people,Irfan Khan,ee95065d
info,registry,people,J Fraser-McGurk,9b6e1b3f
info,registry,people,JP Inglis,989889ff
info,registry,people,JR Hazlewood,03806cf8
info,registry,people,Kamran Ghulam,35f4cf7e
info,registry,people,M Labuschagne,fa433be6
info,registry,people,MA Starc,3fb19989
info,registry,people,MW Short,a90e53ec
info,registry,people,Mohammad Hasnain,8596fe80
info,registry,people,Mohammad Rizwan,2f26ac1a
info,registry,people,Naseem Shah,9c9af282
info,registry,people,PJ Cummins,ded9240e
info,registry,people,SJ Nogajski,9b3f9323
info,registry,people,SPD Smith,30a45b23
info,registry,people,Saim Ayub,33609a8c
info,registry,people,Shaheen Shah Afridi,45a7e761
