version,2.3.0
info,balls_per_over,6
info,team,Scotland
info,team,Namibia
info,team_type,international
info,gender,male
info,season,2024
info,date,2024/07/26
info,event,ICC Men's Cricket World Cup League 2
info,match_id,1428961
info,match_type,ODI
info,match_type_number,4751
info,overs,50
info,match_number,18
info,venue,"Forthill, Dundee"
info,city,Dundee
info,toss_winner,Namibia
info,toss_decision,field
info,player_of_match,MM English
info,umpire,DH Mclean
info,umpire,MJ Saggers
info,reserve_umpire,I McDonald
info,match_referee,Reon King
info,target_overs,2,50
info,target_runs,2,302
info,winner,Scotland
info,winner_runs,138
info,player,Scotland,C Tear
info,player,Scotland,MM English
info,player,Scotland,BJ McMullen
info,player,Scotland,RD Berrington
info,player,Scotland,MH Cross
info,player,Scotland,MA Leask
info,player,Scotland,CN Greaves
info,player,Scotland,MRJ Watt
info,player,Scotland,C Cassell
info,player,Scotland,GT Main
info,player,Scotland,BJ Currie
info,player,Namibia,M van Lingen
info,player,Namibia,JP Kotze
info,player,Namibia,JN Frylinck
info,player,Namibia,MG Erasmus
info,player,Namibia,MB Kruger
info,player,Namibia,JJ Smit
info,player,Namibia,ZE Green
info,player,Namibia,S Fouché
info,player,Namibia,BM Scholtz
info,player,Namibia,T Lungameni
info,player,Namibia,B Shikongo
info,registry,people,B Shikongo,c26cd57a
info,registry,people,BJ Currie,2ecd844a
info,registry,people,BJ McMullen,436c763a
info,registry,people,BM Scholtz,e85d03d6
info,registry,people,C Cassell,2d03c3f8
info,registry,people,C Tear,7ffe4817
info,registry,people,CN Greaves,f42064d5
info,registry,people,DH Mclean,281d4749
info,registry,people,GT Main,4ebc70ca
info,registry,people,I McDonald,37b55799
info,registry,people,JC Balt,75be3b2a
info,registry,people,JJ Smit,bb134e5c
info,registry,people,JN Frylinck,3c87f0c3
info,registry,people,JP Kotze,9f308dfc
info,registry,people,M van Lingen,7eb36269
info,registry,people,MA Leask,28131839
info,registry,people,MB Kruger,c51add25
info,registry,people,MG Erasmus,95a5e066
info,registry,people,MH Cross,8b261d84
info,registry,people,MJ Saggers,402d5937
info,registry,people,MM English,8629178f
info,registry,people,MRJ Watt,1252f71a
info,registry,people,RD Berrington,e21bc7f3
info,registry,people,Reon King,20fbf68c
info,registry,people,S Fouché,89ce57a8
info,registry,people,T Lungameni,1688f2dc
info,registry,people,ZE Green,8716233e
