version,2.3.0
info,balls_per_over,6
info,team,Sri Lanka
info,team,Ireland
info,team_type,international
info,gender,female
info,season,2024
info,date,2024/08/16
info,event,Sri Lanka Women tour of Ireland
info,match_id,1430814
info,match_type,ODI
info,match_type_number,1402
info,overs,50
info,match_number,1
info,venue,"Civil Service Cricket Club, Stormont, Belfast"
info,city,Belfast
info,toss_winner,Ireland
info,toss_decision,field
info,player_of_match,O Prendergast
info,umpire,Aidan Seaver
info,umpire,S Redfern
info,reserve_umpire,M Hawthorne
info,match_referee,G McCrea
info,target_overs,2,50
info,target_runs,2,261
info,winner,Ireland
info,winner_wickets,3
info,player,Sri Lanka,RMVD Gunaratne
info,player,Sri Lanka,AC Jayangani
info,player,Sri Lanka,H Madavi
info,player,Sri Lanka,GWHM Perera
info,player,Sri Lanka,WK Dilhari
info,player,Sri Lanka,NND de Silva
info,player,Sri Lanka,MAA Sanjeewani
info,player,Sri Lanka,S Nisansala
info,player,Sri Lanka,BMSM Kumari
info,player,Sri Lanka,WGAKK Kulasuriya
info,player,Sri Lanka,KDU Prabodhani
info,player,Ireland,S Forbes
info,player,Ireland,GH Lewis
info,player,Ireland,A Hunter
info,player,Ireland,O Prendergast
info,player,Ireland,L Paul
info,player,Ireland,R Stokell
info,player,Ireland,AN Kelly
info,player,Ireland,A Tector
info,player,Ireland,J Maguire
info,player,Ireland,A Dalzell
info,player,Ireland,FA Sargent
info,registry,people,A Dalzell,66498395
info,registry,people,A Hunter,e8fa03ed
info,registry,people,A Tector,d58e9bfb
info,registry,people,AC Jayangani,ac56b5a7
info,registry,people,AN Kelly,397369e0
info,registry,people,Aidan Seaver,862c0b16
info,registry,people,BMSM Kumari,b55fb828
info,registry,people,FA Sargent,fa6e2cb3
info,registry,people,G McCrea,46f4a901
info,registry,people,GH Lewis,1b9d1579
info,registry,people,GWHM Perera,53068b45
info,registry,people,H Madavi,85021bcd
info,registry,people,J Maguire,1b1c23bb
info,registry,people,KDU Prabodhani,a0fdf513
info,registry,people,L Paul,07248d8e
info,registry,people,M Hawthorne,ea123ee4
info,registry,people,MAA Sanjeewani,318a4039
info,registry,people,NND de Silva,f0b4294e
info,registry,people,O Prendergast,d8f20ba5
info,registry,people,R Stokell,def7b1bb
info,registry,people,RMVD Gunaratne,9e866b59
info,registry,people,S Forbes,5ecfab18
info,registry,people,S Nisansala,1251a339
info,registry,people,S Redfern,5b038989
info,registry,people,WGAKK Kulasuriya,550373ea
info,registry,people,WK Dilhari,c34a15e6
