version,2.3.0
info,balls_per_over,6
info,team,Pakistan
info,team,South Africa
info,team_type,international
info,gender,male
info,season,2024/25
info,date,2024/12/19
info,event,Pakistan tour of South Africa
info,match_id,1432215
info,match_type,ODI
info,match_type_number,4819
info,overs,50
info,match_number,2
info,venue,"Newlands, Cape Town"
info,city,Cape Town
info,toss_winner,South Africa
info,toss_decision,field
info,player_of_match,Kamran Ghulam
info,umpire,AG Wharf
info,umpire,LB Gcuma
info,reserve_umpire,A Paleker
info,tv_umpire,Nitin Menon
info,match_referee,RB Richardson
info,target_overs,2,50
info,target_runs,2,330
info,winner,Pakistan
info,winner_runs,81
info,player,Pakistan,Saim Ayub
info,player,Pakistan,Abdullah Shafique
info,player,Pakistan,Babar Azam
info,player,Pakistan,Mohammad Rizwan
info,player,Pakistan,Agha Salman
info,player,Pakistan,Kamran Ghulam
info,player,Pakistan,Irfan Khan
info,player,Pakistan,Shaheen Shah Afridi
info,player,Pakistan,Naseem Shah
info,player,Pakistan,Haris Rauf
info,player,Pakistan,Abrar Ahmed
info,player,South Africa,T Bavuma
info,player,South Africa,T de Zorzi
info,player,South Africa,HE van der Dussen
info,player,South Africa,AK Markram
info,player,South Africa,H Klaasen
info,player,South Africa,DA Miller
info,player,South Africa,M Jansen
info,player,South Africa,AL Phehlukwayo
info,player,South Africa,BC Fortuin
info,player,South Africa,KT Maphaka
info,player,South Africa,T Shamsi
info,registry,people,A Paleker,634b11ac
info,registry,people,AG Wharf,2e0fcc58
info,registry,people,AK Markram,6a26221c
info,registry,people,AL Phehlukwayo,ab6b1c45
info,registry,people,Abdullah Shafique,fc2fffb5
info,registry,people,Abrar Ahmed,abb7c76c
info,registry,people,Agha Salman,89c16049
info,registry,people,BC Fortuin,9a2fc964
info,registry,people,Babar Azam,8a75e999
info,registry,people,DA Miller,d67d5f00
info,registry,people,H Klaasen,235c2bb6
info,registry,people,HE van der Dussen,9948e262
info,registry,people,Haris Rauf,24bb1c2f
info,registry,people,Irfan Khan,ee95065d
info,registry,people,KT Maphaka,107c26fb
info,registry,people,Kamran Ghulam,35f4cf7e
info,registry,people,LB Gcuma,02ba88e3
info,registry,people,M Jansen,81c36ee9
info,registry,people,Mohammad Rizwan,2f26ac1a
info,registry,people,Naseem Shah,9c9af282
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,RB Richardson,410e2f12
info,registry,people,RD Rickelton,e66732f8
info,registry,people,Saim Ayub,33609a8c
info,registry,people,Shaheen Shah Afridi,45a7e761
info,registry,people,T Bavuma,9ffd1ac1
info,registry,people,T Shamsi,a03bba42
info,registry,people,T de Zorzi,d3a1c63d
