version,2.3.0
info,balls_per_over,6
info,team,New Zealand
info,team,Pakistan
info,team_type,international
info,gender,male
info,season,2024/25
info,date,2025/03/29
info,event,Pakistan tour of New Zealand
info,match_id,1443554
info,match_type,ODI
info,match_type_number,4861
info,overs,50
info,match_number,1
info,venue,"McLean Park, Napier"
info,city,Napier
info,toss_winner,Pakistan
info,toss_decision,field
info,player_of_match,MS Chapman
info,umpire,CM Brown
info,umpire,PR Reiffel
info,reserve_umpire,WR Knights
info,tv_umpire,MA Gough
info,match_referee,JJ Crowe
info,target_overs,2,50
info,target_runs,2,345
info,winner,New Zealand
info,winner_runs,73
info,player,New Zealand,WA Young
info,player,New Zealand,NF Kelly
info,player,New Zealand,HM Nicholls
info,player,New Zealand,MS Chapman
info,player,New Zealand,DJ Mitchell
info,player,New Zealand,MA Abbas
info,player,New Zealand,MG Bracewell
info,player,New Zealand,MJ Hay
info,player,New Zealand,NG Smith
info,player,New Zealand,JA Duffy
info,player,New Zealand,W O'Rourke
info,player,Pakistan,Abdullah Shafique
info,player,Pakistan,Usman Khan
info,player,Pakistan,Babar Azam
info,player,Pakistan,Mohammad Rizwan
info,player,Pakistan,Agha Salman
info,player,Pakistan,Tayyab Tahir
info,player,Pakistan,Irfan Khan
info,player,Pakistan,Naseem Shah
info,player,Pakistan,Haris Rauf
info,player,Pakistan,Akif Javed
info,player,Pakistan,Mohammad Ali
info,registry,people,Abdullah Shafique,fc2fffb5
info,registry,people,Agha Salman,89c16049
info,registry,people,Akif Javed,99d7d5b7
info,registry,people,Babar Azam,8a75e999
info,registry,people,CM Brown,448f4f1c
info,registry,people,DJ Mitchell,eade4650
info,registry,people,HM Nicholls,03521fd3
info,registry,people,Haris Rauf,24bb1c2f
info,registry,people,Irfan Khan,ee95065d
info,registry,people,JA Duffy,dadbdb68
info,registry,people,JJ Crowe,2e760301
info,registry,people,MA Abbas,c3576908
info,registry,people,MA Gough,76752ac8
info,registry,people,MG Bracewell,e38bce7a
info,registry,people,MJ Hay,732f711b
info,registry,people,MS Chapman,7fa12533
info,registry,people,Mohammad Ali,a86a37ab
info,registry,people,Mohammad Rizwan,2f26ac1a
info,registry,people,Mohammad Wasim,9e9af5f2
info,registry,people,NF Kelly,97f437ed
info,registry,people,NG Smith,05b1aef8
info,registry,people,Naseem Shah,9c9af282
info,registry,people,PR Reiffel,c9354f29
info,registry,people,Tayyab Tahir,431f8af4
info,registry,people,Usman Khan,bafb9238
info,registry,people,W O'Rourke,cb9b8664
info,registry,people,WA Young,8afe73e2
info,registry,people,WR Knights,63cbf8d8
