version,2.3.0
info,balls_per_over,6
info,team,Australia
info,team,India
info,team_type,international
info,gender,male
info,season,2024/25
info,date,2025/03/04
info,event,ICC Champions Trophy
info,match_id,1466426
info,match_type,ODI
info,match_type_number,4853
info,overs,50
info,venue,Dubai International Cricket Stadium
info,city,Dubai
info,toss_winner,Australia
info,toss_decision,bat
info,player_of_match,V Kohli
info,umpire,CB Gaffaney
info,umpire,RK Illingworth
info,reserve_umpire,AT Holdstock
info,tv_umpire,MA Gough
info,match_referee,AJ Pycroft
info,target_overs,2,50
info,target_runs,2,265
info,winner,India
info,winner_wickets,4
info,player,Australia,TM Head
info,player,Australia,C Connolly
info,player,Australia,SPD Smith
info,player,Australia,M Labuschagne
info,player,Australia,JP Inglis
info,player,Australia,AT Carey
info,player,Australia,GJ Maxwell
info,player,Australia,BJ Dwarshuis
info,player,Australia,A Zampa
info,player,Australia,NT Ellis
info,player,Australia,T Sangha
info,player,India,RG Sharma
info,player,India,Shubman Gill
info,player,India,V Kohli
info,player,India,SS Iyer
info,player,India,AR Patel
info,player,India,KL Rahul
info,player,India,HH Pandya
info,player,India,RA Jadeja
info,player,India,Mohammed Shami
info,player,India,Kuldeep Yadav
info,player,India,CV Varun
info,registry,people,A Zampa,14f96089
info,registry,people,AJ Pycroft,685d3f80
info,registry,people,AR Patel,2e171977
info,registry,people,AT Carey,69d03465
info,registry,people,AT Holdstock,6fa3258c
info,registry,people,BJ Dwarshuis,e1b9f3a9
info,registry,people,C Connolly,fe366f34
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,CV Varun,5b7ab5a9
info,registry,people,GJ Maxwell,b681e71e
info,registry,people,HH Pandya,dbe50b21
info,registry,people,JP Inglis,989889ff
info,registry,people,KL Rahul,b17e2f24
info,registry,people,Kuldeep Yadav,8d2c70ad
info,registry,people,M Labuschagne,fa433be6
info,registry,people,MA Gough,76752ac8
info,registry,people,Mohammed Shami,8cf9814c
info,registry,people,NT Ellis,9eb1455b
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RG Sharma,740742ef
info,registry,people,RK Illingworth,20672246
info,registry,people,SPD Smith,30a45b23
info,registry,people,SS Iyer,85ec8e33
info,registry,people,Shubman Gill,b4b99816
info,registry,people,T Sangha,52c952d9
info,registry,people,TM Head,12b610c2
info,registry,people,V Kohli,ba607b88
