version,2.3.0
info,balls_per_over,6
info,team,Bangladesh
info,team,Thailand
info,team_type,international
info,gender,female
info,season,2025
info,date,2025/04/10
info,event,ICC Women's World Cup Qualifier
info,match_id,1477011
info,match_type,ODI
info,match_type_number,1444
info,overs,50
info,match_number,3
info,venue,Lahore City Cricket Association Ground
info,city,Lahore
info,toss_winner,Thailand
info,toss_decision,field
info,player_of_match,Nigar Sultana
info,umpire,C La Borde
info,umpire,Faisal Afridi
info,reserve_umpire,S Dambanevana
info,tv_umpire,SB Haig
info,match_referee,TL Anderson
info,target_overs,2,50
info,target_runs,2,272
info,winner,Bangladesh
info,winner_runs,178
info,player,Bangladesh,Ishma Tanjim
info,player,Bangladesh,Fargana Hoque
info,player,Bangladesh,Sharmin Akhter
info,player,Bangladesh,Nigar Sultana
info,player,Bangladesh,S Mostary
info,player,Bangladesh,Ritu Moni
info,player,Bangladesh,Fahima Khatun
info,player,Bangladesh,Rabeya Khan
info,player,Bangladesh,Nahida Akter
info,player,Bangladesh,Jannatul Ferdus
info,player,Bangladesh,Marufa Akter
info,player,Thailand,N Boochatham
info,player,Thailand,C Sutthiruang
info,player,Thailand,N Koncharoenkai
info,player,Thailand,N Chantam
info,player,Thailand,N Chaiwai
info,player,Thailand,P Maya
info,player,Thailand,T Putthawong
info,player,Thailand,A Suwanchonrathi
info,player,Thailand,S Laomi
info,player,Thailand,S Chaturongrattana
info,player,Thailand,O Kamchomphu
info,registry,people,A Suwanchonrathi,43a2244f
info,registry,people,C La Borde,32157f67
info,registry,people,C Sutthiruang,f6ddfe08
info,registry,people,Fahima Khatun,558cdd64
info,registry,people,Faisal Afridi,ed0bc503
info,registry,people,Fargana Hoque,6e96c956
info,registry,people,Ishma Tanjim,5d428b3d
info,registry,people,Jannatul Ferdus,fa948618
info,registry,people,Marufa Akter,a50797a4
info,registry,people,N Boochatham,58acb320
info,registry,people,N Chaiwai,0825e4b3
info,registry,people,N Chantam,b5626ff7
info,registry,people,N Koncharoenkai,82c78412
info,registry,people,Nahida Akter,66078174
info,registry,people,Nigar Sultana,3827f6a2
info,registry,people,O Kamchomphu,519b872a
info,registry,people,P Maya,72eada4c
info,registry,people,Rabeya Khan,aaf037b1
info,registry,people,Ritu Moni,ad3940a5
info,registry,people,S Chaturongrattana,bd36bc39
info,registry,people,S Dambanevana,039923bd
info,registry,people,S Laomi,4b15618c
info,registry,people,S Mostary,94de63bf
info,registry,people,SB Haig,811655b3
info,registry,people,Sharmin Akhter,84fdd3cf
info,registry,people,T Putthawong,23e3f2d6
info,registry,people,TL Anderson,f52ddf8d
