version,2.3.0
info,balls_per_over,6
info,team,Scotland
info,team,Thailand
info,team_type,international
info,gender,female
info,season,2025
info,date,2025/04/13
info,event,ICC Women's World Cup Qualifier
info,match_id,1477014
info,match_type,ODI
info,match_type_number,1447
info,overs,50
info,match_number,6
info,venue,Lahore City Cricket Association Ground
info,city,Lahore
info,toss_winner,Scotland
info,toss_decision,bat
info,player_of_match,K Fraser
info,umpire,Saleema Imtiaz
info,umpire,SB Haig
info,reserve_umpire,S Dambanevana
info,tv_umpire,Shathira Jakir
info,match_referee,TL Anderson
info,target_overs,2,50
info,target_runs,2,207
info,winner,Scotland
info,winner_runs,58
info,player,Scotland,PN Sproul
info,player,Scotland,A Aitken-Drummond
info,player,Scotland,KE Bryce
info,player,Scotland,SJ Bryce
info,player,Scotland,A Lister
info,player,Scotland,M McColl
info,player,Scotland,K Fraser
info,player,Scotland,PA Chatterji
info,player,Scotland,HRA Rainey
info,player,Scotland,AH Maqsood
info,player,Scotland,R Slater
info,player,Thailand,N Boochatham
info,player,Thailand,C Sutthiruang
info,player,Thailand,N Koncharoenkai
info,player,Thailand,N Chantam
info,player,Thailand,N Chaiwai
info,player,Thailand,T Putthawong
info,player,Thailand,P Maya
info,player,Thailand,S Khiaoto
info,player,Thailand,S Laomi
info,player,Thailand,S Chaturongrattana
info,player,Thailand,O Kamchomphu
info,registry,people,A Aitken-Drummond,25c73eb6
info,registry,people,A Lister,090c0213
info,registry,people,AH Maqsood,f61e2829
info,registry,people,C Abel,d92d3563
info,registry,people,C Sutthiruang,f6ddfe08
info,registry,people,HRA Rainey,7027d12f
info,registry,people,K Fraser,a0a65375
info,registry,people,KE Bryce,f13d3eba
info,registry,people,M McColl,d5fa2ab3
info,registry,people,N Boochatham,58acb320
info,registry,people,N Chaiwai,0825e4b3
info,registry,people,N Chantam,b5626ff7
info,registry,people,N Koncharoenkai,82c78412
info,registry,people,O Kamchomphu,519b872a
info,registry,people,P Maya,72eada4c
info,registry,people,PA Chatterji,8e7be59c
info,registry,people,PN Sproul,789fe152
info,registry,people,R Slater,8a452195
info,registry,people,S Chaturongrattana,bd36bc39
info,registry,people,S Dambanevana,039923bd
info,registry,people,S Khiaoto,3ac854ca
info,registry,people,S Laomi,4b15618c
info,registry,people,SB Haig,811655b3
info,registry,people,SJ Bryce,2ca65aee
info,registry,people,Saleema Imtiaz,d17d21d5
info,registry,people,Shathira Jakir,6b992a6f
info,registry,people,T Putthawong,23e3f2d6
info,registry,people,TL Anderson,f52ddf8d
