version,2.3.0
info,balls_per_over,6
info,team,Ireland
info,team,Thailand
info,team_type,international
info,gender,female
info,season,2025
info,date,2025/04/15
info,event,ICC Women's World Cup Qualifier
info,match_id,1477017
info,match_type,ODI
info,match_type_number,1450
info,overs,50
info,match_number,9
info,venue,Lahore City Cricket Association Ground
info,city,Lahore
info,toss_winner,Ireland
info,toss_decision,bat
info,player_of_match,L Little
info,umpire,Masudur Rahman
info,umpire,Shathira Jakir
info,reserve_umpire,LB Gcuma
info,tv_umpire,Saleema Imtiaz
info,match_referee,SA Fritz
info,target_overs,2,50
info,target_runs,2,306
info,winner,Ireland
info,winner_runs,46
info,player,Ireland,S Forbes
info,player,Ireland,GH Lewis
info,player,Ireland,A Hunter
info,player,Ireland,O Prendergast
info,player,Ireland,L Delany
info,player,Ireland,L Paul
info,player,Ireland,L Little
info,player,Ireland,S MacMahon
info,player,Ireland,A Canning
info,player,Ireland,C Murray
info,player,Ireland,KJ McCartney
info,player,Thailand,N Boochatham
info,player,Thailand,C Sutthiruang
info,player,Thailand,N Koncharoenkai
info,player,Thailand,N Chantam
info,player,Thailand,N Chaiwai
info,player,Thailand,P Maya
info,player,Thailand,S Khiaoto
info,player,Thailand,O Kamchomphu
info,player,Thailand,T Putthawong
info,player,Thailand,S Chaturongrattana
info,player,Thailand,S Laomi
info,registry,people,A Canning,ffd5fcd8
info,registry,people,A Hunter,e8fa03ed
info,registry,people,C Murray,5a50471c
info,registry,people,C Sutthiruang,f6ddfe08
info,registry,people,GH Lewis,1b9d1579
info,registry,people,KJ McCartney,771b44ed
info,registry,people,L Delany,b4f73b44
info,registry,people,L Little,4f86926b
info,registry,people,L Paul,07248d8e
info,registry,people,LB Gcuma,02ba88e3
info,registry,people,Masudur Rahman,9581ac6b
info,registry,people,N Boochatham,58acb320
info,registry,people,N Chaiwai,0825e4b3
info,registry,people,N Chantam,b5626ff7
info,registry,people,N Koncharoenkai,82c78412
info,registry,people,O Kamchomphu,519b872a
info,registry,people,O Prendergast,d8f20ba5
info,registry,people,P Maya,72eada4c
info,registry,people,S Chaturongrattana,bd36bc39
info,registry,people,S Forbes,5ecfab18
info,registry,people,S Khiaoto,3ac854ca
info,registry,people,S Laomi,4b15618c
info,registry,people,S MacMahon,ef2bcebf
info,registry,people,SA Fritz,d15e60c8
info,registry,people,Saleema Imtiaz,d17d21d5
info,registry,people,Shathira Jakir,6b992a6f
info,registry,people,T Putthawong,23e3f2d6
