version,2.3.0
info,balls_per_over,6
info,team,India
info,team,Australia
info,team_type,international
info,gender,female
info,season,2025/26
info,date,2026/02/24
info,event,India Women tour of Australia
info,match_id,1478915
info,match_type,ODI
info,match_type_number,1527
info,overs,50
info,match_number,1
info,venue,"Allan Border Field, Brisbane"
info,city,Brisbane
info,toss_winner,India
info,toss_decision,bat
info,player_of_match,BL Mooney
info,umpire,Kim Cotton
info,umpire,SAJ Craig
info,reserve_umpire,SE Dionysius
info,tv_umpire,CA Polosak
info,match_referee,Kent Hannam
info,target_overs,2,50
info,target_runs,2,215
info,winner,Australia
info,winner_wickets,6
info,player,India,Pratika Rawal
info,player,India,S Mandhana
info,player,India,Shafali Verma
info,player,India,JI Rodrigues
info,player,India,H Kaur
info,player,India,DB Sharma
info,player,India,RM Ghosh
info,player,India,KS Gautam
info,player,India,K Goud
info,player,India,N Shree Charani
info,player,India,Renuka Singh
info,player,Australia,AJ Healy
info,player,Australia,P Litchfield
info,player,Australia,G Voll
info,player,Australia,BL Mooney
info,player,Australia,A Sutherland
info,player,Australia,A Gardner
info,player,Australia,TM McGrath
info,player,Australia,S Molineux
info,player,Australia,A King
info,player,Australia,ML Schutt
info,player,Australia,D Brown
info,registry,people,A Gardner,bc969efb
info,registry,people,A King,83558266
info,registry,people,A Sutherland,65d9b6b6
info,registry,people,AJ Healy,321644de
info,registry,people,BL Mooney,52d1dbc8
info,registry,people,CA Polosak,26a360d2
info,registry,people,D Brown,2e81be88
info,registry,people,DB Sharma,201fef33
info,registry,people,G Voll,5c30d455
info,registry,people,H Kaur,53cd8da6
info,registry,people,JI Rodrigues,cb08b611
info,registry,people,K Goud,4d622fee
info,registry,people,KS Gautam,bc773c4a
info,registry,people,Kent Hannam,8cc171e7
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,ML Schutt,17608a6f
info,registry,people,N Shree Charani,583ce32c
info,registry,people,P Litchfield,4e6ef14f
info,registry,people,Pratika Rawal,45a13dcf
info,registry,people,RM Ghosh,721e0199
info,registry,people,Renuka Singh,7298db76
info,registry,people,S Mandhana,5d2eda89
info,registry,people,S Molineux,99e23670
info,registry,people,SAJ Craig,689f2eed
info,registry,people,SE Dionysius,ac886e6f
info,registry,people,Shafali Verma,d8f59089
info,registry,people,TM McGrath,ca5acfa4
