version,2.3.0
info,balls_per_over,6
info,team,United Arab Emirates
info,team,Scotland
info,team_type,international
info,gender,male
info,season,2025
info,date,2025/05/08
info,event,ICC Men's Cricket World Cup League 2
info,match_id,1481531
info,match_type,ODI
info,match_type_number,4866
info,overs,50
info,match_number,62
info,venue,"VRA Ground, Amstelveen"
info,city,Amstelveen
info,toss_winner,United Arab Emirates
info,toss_decision,bat
info,player_of_match,R Chopra
info,umpire,N Bathi
info,umpire,Rizwan Akram
info,reserve_umpire,R Black
info,match_referee,Philip Thompson
info,target_overs,2,50
info,target_runs,2,297
info,winner,United Arab Emirates
info,winner_runs,97
info,player,United Arab Emirates,A Sharma
info,player,United Arab Emirates,S Kalyan
info,player,United Arab Emirates,Asif Khan
info,player,United Arab Emirates,R Chopra
info,player,United Arab Emirates,A Sharafu
info,player,United Arab Emirates,Waseem Muhammad
info,player,United Arab Emirates,D Parashar
info,player,United Arab Emirates,Junaid Siddique
info,player,United Arab Emirates,SS Kang
info,player,United Arab Emirates,Muhammad Jawadullah
info,player,United Arab Emirates,Aayan Afzal Khan
info,player,Scotland,HG Munsey
info,player,Scotland,C Tear
info,player,Scotland,BJ McMullen
info,player,Scotland,RD Berrington
info,player,Scotland,FDW McCreath
info,player,Scotland,MH Cross
info,player,Scotland,MA Leask
info,player,Scotland,MRJ Watt
info,player,Scotland,J Jarvis
info,player,Scotland,JJ Davidson
info,player,Scotland,C Cassell
info,registry,people,A Sharafu,06cad4f0
info,registry,people,A Sharma,5661ef90
info,registry,people,Aayan Afzal Khan,d2d15439
info,registry,people,Asif Khan,074acfb4
info,registry,people,BJ McMullen,436c763a
info,registry,people,C Cassell,2d03c3f8
info,registry,people,C Tear,7ffe4817
info,registry,people,CN Greaves,f42064d5
info,registry,people,D Parashar,395179e8
info,registry,people,FDW McCreath,bccead86
info,registry,people,HG Munsey,ff014c34
info,registry,people,J Jarvis,ab54f9e7
info,registry,people,JJ Davidson,068c47d2
info,registry,people,Junaid Siddique,84dc72db
info,registry,people,MA Leask,28131839
info,registry,people,MH Cross,8b261d84
info,registry,people,MRJ Watt,1252f71a
info,registry,people,Muhammad Jawadullah,098a757c
info,registry,people,N Bathi,96a0edf9
info,registry,people,Philip Thompson,0c677650
info,registry,people,R Black,156c8fb1
info,registry,people,R Chopra,a71d0f89
info,registry,people,RD Berrington,e21bc7f3
info,registry,people,Rizwan Akram,b5346f1e
info,registry,people,S Kalyan,e6ce0f4a
info,registry,people,SS Kang,797ee165
info,registry,people,Waseem Muhammad,6f02fe2a
