version,2.3.0
info,balls_per_over,6
info,team,India
info,team,Sri Lanka
info,team_type,international
info,gender,female
info,season,2025/26
info,date,2025/09/30
info,event,ICC Women's World Cup
info,match_id,1490413
info,match_type,ODI
info,match_type_number,1486
info,overs,50
info,match_number,1
info,venue,"Barsapara Cricket Stadium, Guwahati"
info,city,Guwahati
info,toss_winner,Sri Lanka
info,toss_decision,field
info,player_of_match,DB Sharma
info,umpire,CA Polosak
info,umpire,Eloise Sheridan
info,reserve_umpire,Shathira Jakir
info,tv_umpire,Kim Cotton
info,match_referee,SA Fritz
info,target_overs,2,47
info,target_runs,2,271
info,winner,India
info,winner_runs,59
info,method,D/L
info,player,India,Pratika Rawal
info,player,India,S Mandhana
info,player,India,H Deol
info,player,India,H Kaur
info,player,India,JI Rodrigues
info,player,India,DB Sharma
info,player,India,RM Ghosh
info,player,India,AB Kaur
info,player,India,S Rana
info,player,India,K Goud
info,player,India,N Shree Charani
info,player,Sri Lanka,GWHM Perera
info,player,Sri Lanka,AC Jayangani
info,player,Sri Lanka,H Madavi
info,player,Sri Lanka,RMVD Gunaratne
info,player,Sri Lanka,WK Dilhari
info,player,Sri Lanka,NND de Silva
info,player,Sri Lanka,MAA Sanjeewani
info,player,Sri Lanka,BMSM Kumari
info,player,Sri Lanka,WGAKK Kulasuriya
info,player,Sri Lanka,KDU Prabodhani
info,player,Sri Lanka,I Ranaweera
info,registry,people,AB Kaur,9565fda6
info,registry,people,AC Jayangani,ac56b5a7
info,registry,people,BMSM Kumari,b55fb828
info,registry,people,CA Polosak,26a360d2
info,registry,people,DB Sharma,201fef33
info,registry,people,Eloise Sheridan,d8d43840
info,registry,people,GWHM Perera,53068b45
info,registry,people,H Deol,3664712e
info,registry,people,H Kaur,53cd8da6
info,registry,people,H Madavi,85021bcd
info,registry,people,I Ranaweera,a61850e6
info,registry,people,JI Rodrigues,cb08b611
info,registry,people,K Goud,4d622fee
info,registry,people,KDU Prabodhani,a0fdf513
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,MAA Sanjeewani,318a4039
info,registry,people,N Shree Charani,583ce32c
info,registry,people,NND de Silva,f0b4294e
info,registry,people,Pratika Rawal,45a13dcf
info,registry,people,RM Ghosh,721e0199
info,registry,people,RMVD Gunaratne,9e866b59
info,registry,people,S Mandhana,5d2eda89
info,registry,people,S Rana,c4c374d9
info,registry,people,SA Fritz,d15e60c8
info,registry,people,Shathira Jakir,6b992a6f
info,registry,people,WGAKK Kulasuriya,550373ea
info,registry,people,WK Dilhari,c34a15e6
