version,2.3.0
info,balls_per_over,6
info,team,England
info,team,India
info,gender,male
info,team_type,international
info,season,2026
info,date,2026/07/19
info,match_id,1496581
info,match_type,ODI
info,match_type_number,4990
info,overs,50
info,event,India tour of England
info,match_number,3
info,venue,"Lord's, London"
info,city,London
info,toss_winner,England
info,toss_decision,bat
info,player_of_match,JG Bethell
info,umpire,HDPK Dharmasena
info,umpire,MJ Saggers
info,tv_umpire,SJ Nogajski
info,match_referee,RB Richardson
info,target_overs,2,50
info,target_runs,2,388
info,winner,England
info,winner_runs,27
info,player,England,BM Duckett
info,player,England,JG Bethell
info,player,England,JE Root
info,player,England,HC Brook
info,player,England,JC Buttler
info,player,England,SM Curran
info,player,England,WG Jacks
info,player,England,AAP Atkinson
info,player,England,JC Archer
info,player,England,AU Rashid
info,player,England,JC Tongue
info,player,India,RG Sharma
info,player,India,Shubman Gill
info,player,India,V Kohli
info,player,India,Ishan Kishan
info,player,India,SS Iyer
info,player,India,KL Rahul
info,player,India,AR Patel
info,player,India,Gurnoor Brar
info,player,India,Arshdeep Singh
info,player,India,Prince Yadav
info,player,India,M Prasidh Krishna
info,registry,people,AAP Atkinson,70d57519
info,registry,people,AR Patel,2e171977
info,registry,people,AU Rashid,249d60c9
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,BM Duckett,5f26f677
info,registry,people,Gurnoor Brar,99258814
info,registry,people,HC Brook,4ae1755b
info,registry,people,HDPK Dharmasena,323e4c16
info,registry,people,Ishan Kishan,752f7486
info,registry,people,JC Archer,5574750c
info,registry,people,JC Buttler,99b75528
info,registry,people,JC Tongue,1f1b4c89
info,registry,people,JE Root,a343262c
info,registry,people,JG Bethell,3c55c703
info,registry,people,KL Rahul,b17e2f24
info,registry,people,M Prasidh Krishna,85e0cf10
info,registry,people,MJ Saggers,402d5937
info,registry,people,Prince Yadav,80b2fb19
info,registry,people,RB Richardson,410e2f12
info,registry,people,RG Sharma,740742ef
info,registry,people,Rehan Ahmed,0ecb4de6
info,registry,people,SJ Nogajski,9b3f9323
info,registry,people,SM Curran,e94915e6
info,registry,people,SS Iyer,85ec8e33
info,registry,people,Shubman Gill,b4b99816
info,registry,people,V Kohli,ba607b88
info,registry,people,WG Jacks,9caf69a1
