version,2.3.0
info,balls_per_over,6
info,team,Canada
info,team,Namibia
info,team_type,international
info,gender,male
info,season,2025
info,date,2025/08/27
info,event,ICC Men's Cricket World Cup League 2
info,match_id,1498181
info,match_type,ODI
info,match_type_number,4898
info,overs,50
info,match_number,79
info,venue,"Maple Leaf North-West Ground, King City"
info,city,King City
info,toss_winner,Namibia
info,toss_decision,field
info,player_of_match,JN Frylinck
info,umpire,H Grewal
info,umpire,SB Haig
info,reserve_umpire,R Shah
info,match_referee,G McCrea
info,target_overs,2,50
info,target_runs,2,220
info,winner,Namibia
info,winner_wickets,5
info,player,Canada,Ali Nadeem
info,player,Canada,YS Samra
info,player,Canada,Pargat Singh
info,player,Canada,H Thaker
info,player,Canada,NR Kirton
info,player,Canada,S Movva
info,player,Canada,Jaskaran Singh
info,player,Canada,Shivam Sharma
info,player,Canada,Saad Bin Zafar
info,player,Canada,Shahid Ahmadzai
info,player,Canada,Kaleem Sana
info,player,Namibia,WP Myburgh
info,player,Namibia,JP Kotze
info,player,Namibia,JN Frylinck
info,player,Namibia,MG Erasmus
info,player,Namibia,DO Leicher
info,player,Namibia,JJ Smit
info,player,Namibia,JN Loftie-Eaton
info,player,Namibia,BM Scholtz
info,player,Namibia,ZE Green
info,player,Namibia,R Trumpelmann
info,player,Namibia,T Lungameni
info,registry,people,Ali Nadeem,02802468
info,registry,people,B Shikongo,c26cd57a
info,registry,people,BM Scholtz,e85d03d6
info,registry,people,DO Leicher,e28bb0b9
info,registry,people,G McCrea,46f4a901
info,registry,people,H Grewal,1172f36e
info,registry,people,H Thaker,c01d7726
info,registry,people,JJ Smit,bb134e5c
info,registry,people,JN Frylinck,3c87f0c3
info,registry,people,JN Loftie-Eaton,f468293b
info,registry,people,JP Kotze,9f308dfc
info,registry,people,Jaskaran Singh,d7b3a420
info,registry,people,Kaleem Sana,14810ee7
info,registry,people,MG Erasmus,95a5e066
info,registry,people,NR Kirton,6b75c2b1
info,registry,people,Pargat Singh,d2e67105
info,registry,people,R Shah,3424e050
info,registry,people,R Trumpelmann,ff6a7ab5
info,registry,people,S Movva,ee229588
info,registry,people,SB Haig,811655b3
info,registry,people,Saad Bin Zafar,f28a60e0
info,registry,people,Shahid Ahmadzai,3fb56752
info,registry,people,Shivam Sharma,5bdeeed4
info,registry,people,T Lungameni,1688f2dc
info,registry,people,WP Myburgh,f1a042e5
info,registry,people,YS Samra,d02c40ab
info,registry,people,ZE Green,8716233e
