version,2.3.0
info,balls_per_over,6
info,team,United Arab Emirates
info,team,Zimbabwe
info,team_type,international
info,gender,female
info,season,2025/26
info,date,2025/10/02
info,event,United Arab Emirates Women tour of Zimbabwe
info,match_id,1503564
info,match_type,ODI
info,match_type_number,1488
info,overs,50
info,match_number,4
info,venue,"Queens Sports Club, Bulawayo"
info,city,Bulawayo
info,toss_winner,Zimbabwe
info,toss_decision,field
info,player_of_match,ER Oza
info,umpire,C Phiri
info,umpire,N Ndiweni
info,reserve_umpire,C Tlou
info,match_referee,J Chibhabha
info,target_overs,2,50
info,target_runs,2,275
info,winner,United Arab Emirates
info,winner_runs,45
info,player,United Arab Emirates,ER Oza
info,player,United Arab Emirates,Theertha Satish
info,player,United Arab Emirates,Rinitha Rajith
info,player,United Arab Emirates,H Hotchandani
info,player,United Arab Emirates,S Dharnidharka
info,player,United Arab Emirates,MD Botha
info,player,United Arab Emirates,L Keny
info,player,United Arab Emirates,Al Maseera Jahangir
info,player,United Arab Emirates,S Gokhale
info,player,United Arab Emirates,S Kotte
info,player,United Arab Emirates,I Nandakumar
info,player,Zimbabwe,M Mupachikwa
info,player,Zimbabwe,K Ndlovu
info,player,Zimbabwe,L Tshuma
info,player,Zimbabwe,J Nkomo
info,player,Zimbabwe,R Pasipanodya
info,player,Zimbabwe,L Phiri
info,player,Zimbabwe,CT Dhururu
info,player,Zimbabwe,A Zimunu
info,player,Zimbabwe,F Chipare
info,player,Zimbabwe,T Makusha
info,player,Zimbabwe,L Mabhero
info,registry,people,A Zimunu,af6c03bc
info,registry,people,Al Maseera Jahangir,be47cb63
info,registry,people,C Phiri,ade73404
info,registry,people,C Tlou,b08de60e
info,registry,people,CT Dhururu,8d7fba79
info,registry,people,ER Oza,fdc6b34d
info,registry,people,F Chipare,c0dc015b
info,registry,people,H Hotchandani,f537d39c
info,registry,people,I Nandakumar,9f87d0f0
info,registry,people,J Chibhabha,4c5c47a4
info,registry,people,J Nkomo,36dfa62e
info,registry,people,K Ndlovu,8d25271a
info,registry,people,L Keny,aea89d48
info,registry,people,L Mabhero,37f9eb59
info,registry,people,L Phiri,cca8bdca
info,registry,people,L Tshuma,f281dd00
info,registry,people,M Mupachikwa,6657b319
info,registry,people,MD Botha,c2c7e58a
info,registry,people,N Ndiweni,f4e6fede
info,registry,people,N Sibanda,edf62a25
info,registry,people,R Pasipanodya,17ccd296
info,registry,people,Rinitha Rajith,36ba7f0b
info,registry,people,S Dharnidharka,f8b50da3
info,registry,people,S Gokhale,62653085
info,registry,people,S Kotte,6c8904c8
info,registry,people,T Makusha,df15677b
info,registry,people,Theertha Satish,ee3dcb3f
