version,2.3.0
info,balls_per_over,6
info,team,England
info,team,Sri Lanka
info,team_type,international
info,gender,male
info,season,2025/26
info,date,2026/01/27
info,event,England tour of Sri Lanka
info,match_id,1507718
info,match_type,ODI
info,match_type_number,4942
info,overs,50
info,match_number,3
info,venue,"R Premadasa Stadium, Colombo"
info,city,Colombo
info,toss_winner,England
info,toss_decision,bat
info,player_of_match,HC Brook
info,umpire,RJ Tucker
info,umpire,RR Wimalasiri
info,umpire,RA Kottahachchi
info,reserve_umpire,IC Soysa
info,tv_umpire,AT Holdstock
info,match_referee,RS Madugalle
info,target_overs,2,50
info,target_runs,2,358
info,winner,England
info,winner_runs,53
info,player,England,Rehan Ahmed
info,player,England,BM Duckett
info,player,England,JE Root
info,player,England,JG Bethell
info,player,England,HC Brook
info,player,England,JC Buttler
info,player,England,WG Jacks
info,player,England,SM Curran
info,player,England,J Overton
info,player,England,LA Dawson
info,player,England,AU Rashid
info,player,Sri Lanka,P Nissanka
info,player,Sri Lanka,K Mishara
info,player,Sri Lanka,BKG Mendis
info,player,Sri Lanka,P Rathnayake
info,player,Sri Lanka,KIC Asalanka
info,player,Sri Lanka,J Liyanage
info,player,Sri Lanka,DM de Silva
info,player,Sri Lanka,DN Wellalage
info,player,Sri Lanka,PWH de Silva
info,player,Sri Lanka,JDF Vandersay
info,player,Sri Lanka,AM Fernando
info,registry,people,AM Fernando,de3d549a
info,registry,people,AT Holdstock,6fa3258c
info,registry,people,AU Rashid,249d60c9
info,registry,people,BKG Mendis,5d1e7582
info,registry,people,BM Duckett,5f26f677
info,registry,people,DM de Silva,7d608e12
info,registry,people,DN Wellalage,736123bb
info,registry,people,HC Brook,4ae1755b
info,registry,people,IC Soysa,717a7971
info,registry,people,J Liyanage,84212ffb
info,registry,people,J Overton,59559bc2
info,registry,people,JC Buttler,99b75528
info,registry,people,JDF Vandersay,aceb7654
info,registry,people,JE Root,a343262c
info,registry,people,JG Bethell,3c55c703
info,registry,people,K Mishara,65cebd5d
info,registry,people,KIC Asalanka,732c038e
info,registry,people,LA Dawson,4a461c24
info,registry,people,P Nissanka,8ee36b18
info,registry,people,P Rathnayake,c1fdfb46
info,registry,people,PWH de Silva,a97c8ec2
info,registry,people,RA Kottahachchi,808f2939
info,registry,people,RJ Tucker,38810cfc
info,registry,people,RR Wimalasiri,4950c8db
info,registry,people,RS Madugalle,766b5798
info,registry,people,Rehan Ahmed,0ecb4de6
info,registry,people,SM Curran,e94915e6
info,registry,people,T Banton,25f7b7d6
info,registry,people,WG Jacks,9caf69a1
