version,2.3.0
info,balls_per_over,6
info,team,Nepal
info,team,United Arab Emirates
info,team_type,international
info,gender,male
info,season,2025/26
info,date,2025/11/05
info,event,ICC Men's Cricket World Cup League 2
info,match_id,1507889
info,match_type,ODI
info,match_type_number,4925
info,overs,50
info,match_number,90
info,venue,"ICC Academy, Dubai"
info,city,Dubai
info,toss_winner,United Arab Emirates
info,toss_decision,field
info,player_of_match,Muhammad Shahdad
info,umpire,R Pandit
info,umpire,Shiju Sam
info,reserve_umpire,Akbar Ali
info,match_referee,Hamim Khan
info,target_overs,2,50
info,target_runs,2,240
info,winner,United Arab Emirates
info,winner_wickets,4
info,player,Nepal,K Bhurtel
info,player,Nepal,Aasif Sheikh
info,player,Nepal,B Sharki
info,player,Nepal,RK Paudel
info,player,Nepal,Aarif Sheikh
info,player,Nepal,DS Airee
info,player,Nepal,Kushal Malla
info,player,Nepal,Karan KC
info,player,Nepal,NK Yadav
info,player,Nepal,S Lamichhane
info,player,Nepal,LN Rajbanshi
info,player,United Arab Emirates,A Sharafu
info,player,United Arab Emirates,A Sharma
info,player,United Arab Emirates,Muhammad Shahdad
info,player,United Arab Emirates,Shoaib Khan
info,player,United Arab Emirates,Waseem Muhammad
info,player,United Arab Emirates,H Kaushik
info,player,United Arab Emirates,D Parashar
info,player,United Arab Emirates,Zahid Ali
info,player,United Arab Emirates,Junaid Siddique
info,player,United Arab Emirates,Haider Ali
info,player,United Arab Emirates,Muhammad Jawadullah
info,registry,people,A Sharafu,06cad4f0
info,registry,people,A Sharma,5661ef90
info,registry,people,Aarif Sheikh,cd4d7695
info,registry,people,Aasif Sheikh,dcbea954
info,registry,people,Akbar Ali,e753931d
info,registry,people,B Sharki,fbdc8309
info,registry,people,D Parashar,395179e8
info,registry,people,DS Airee,1747ea18
info,registry,people,H Kaushik,2bfec670
info,registry,people,Haider Ali,dd572696
info,registry,people,Hamim Khan,f82540a3
info,registry,people,Junaid Siddique,84dc72db
info,registry,people,K Bhurtel,e3386c8a
info,registry,people,Karan KC,f53b3e1d
info,registry,people,Kushal Malla,7e9f1cde
info,registry,people,LN Rajbanshi,6ad2d5f7
info,registry,people,Muhammad Jawadullah,098a757c
info,registry,people,Muhammad Shahdad,a8ac334b
info,registry,people,NK Yadav,737e595d
info,registry,people,R Pandit,8a604384
info,registry,people,RK Paudel,1a3cc554
info,registry,people,S Lamichhane,b410bd3d
info,registry,people,Shiju Sam,1e2f3eae
info,registry,people,Shoaib Khan,fdee4a01
info,registry,people,Waseem Muhammad,6f02fe2a
info,registry,people,Zahid Ali,0d15a8c9
