version,2.3.0
info,balls_per_over,6
info,team,Oman
info,team,Scotland
info,team_type,international
info,gender,male
info,season,2026
info,date,2026/04/08
info,event,ICC Men's Cricket World Cup League 2
info,match_id,1529142
info,match_type,ODI
info,match_type_number,4948
info,overs,50
info,match_number,94
info,venue,"Namibia Cricket Ground, Windhoek"
info,city,Windhoek
info,toss_winner,Scotland
info,toss_decision,field
info,player_of_match,Hassnain Shah
info,umpire,A Louw
info,umpire,E Lassen
info,reserve_umpire,Stephen Harris
info,match_referee,ET Dube
info,target_overs,2,20
info,target_runs,2,164
info,winner,Oman
info,winner_runs,12
info,player,Oman,Jatinder Singh
info,player,Oman,AR Odedara
info,player,Oman,Mujibur Ali
info,player,Oman,Hammad Mirza
info,player,Oman,Wasim Ali
info,player,Oman,V Shukla
info,player,Oman,J Ramanandi
info,player,Oman,Shakeel Ahmed
info,player,Oman,Hassnain Shah
info,player,Oman,Muhammed Imran
info,player,Oman,S Shrivastava
info,player,Scotland,HG Munsey
info,player,Scotland,FDW McCreath
info,player,Scotland,BJ McMullen
info,player,Scotland,RD Berrington
info,player,Scotland,MRJ Watt
info,player,Scotland,MH Cross
info,player,Scotland,CM McBride
info,player,Scotland,MA Leask
info,player,Scotland,J Jarvis
info,player,Scotland,SM Sharif
info,player,Scotland,MW Jones
info,registry,people,A Louw,5eecae5d
info,registry,people,AR Odedara,a7a6c1c2
info,registry,people,BJ McMullen,436c763a
info,registry,people,CM McBride,9ec74db8
info,registry,people,E Lassen,a476d6d0
info,registry,people,ET Dube,4c0891bc
info,registry,people,FDW McCreath,bccead86
info,registry,people,HG Munsey,ff014c34
info,registry,people,Hammad Mirza,0b7b78c6
info,registry,people,Hassnain Shah,7cb931fc
info,registry,people,J Jarvis,ab54f9e7
info,registry,people,J Ramanandi,f7ce2ff9
info,registry,people,Jatinder Singh,b80dd12c
info,registry,people,MA Leask,28131839
info,registry,people,MH Cross,8b261d84
info,registry,people,MRJ Watt,1252f71a
info,registry,people,MW Jones,487b8546
info,registry,people,Muhammed Imran,5278cecc
info,registry,people,Mujibur Ali,e88468b7
info,registry,people,RD Berrington,e21bc7f3
info,registry,people,S Shrivastava,ac166f77
info,registry,people,SM Sharif,f43dd8c2
info,registry,people,Shakeel Ahmed,e29e9c12
info,registry,people,Stephen Harris,fdcfd4aa
info,registry,people,V Shukla,101b1180
info,registry,people,Wasim Ali,ea59139a
