version,2.3.0
info,balls_per_over,6
info,team,Scotland
info,team,United States of America
info,team_type,international
info,gender,male
info,season,2026
info,date,2026/05/20
info,event,ICC Men's Cricket World Cup League 2
info,match_id,1531706
info,match_type,ODI
info,match_type_number,4964
info,overs,50
info,match_number,107
info,venue,"Tribhuvan University International Cricket Ground, Kirtipur"
info,city,Kirtipur
info,toss_winner,Scotland
info,toss_decision,bat
info,player_of_match,SN Netravalkar
info,umpire,BB Pradhan
info,umpire,DN Subedi
info,reserve_umpire,Faisal Afridi
info,match_referee,V Narayan Kutty
info,target_overs,2,50
info,target_runs,2,170
info,winner,United States of America
info,winner_wickets,6
info,player,Scotland,HG Munsey
info,player,Scotland,FDW McCreath
info,player,Scotland,BJ McMullen
info,player,Scotland,RD Berrington
info,player,Scotland,MM English
info,player,Scotland,MH Cross
info,player,Scotland,MRJ Watt
info,player,Scotland,MA Leask
info,player,Scotland,J Jarvis
info,player,Scotland,O Davidson
info,player,Scotland,SM Sharif
info,player,United States of America,SK Patel
info,player,United States of America,Shayan Jahangir
info,player,United States of America,GSNFG Jayasuriya
info,player,United States of America,SR Mukkamalla
info,player,United States of America,Milind Kumar
info,player,United States of America,Shubham Ranjane
info,player,United States of America,SP Krishnamurthi
info,player,United States of America,Harmeet Singh
info,player,United States of America,NP Kenjige
info,player,United States of America,SN Netravalkar
info,player,United States of America,R Ugarkar
info,registry,people,BB Pradhan,8603d942
info,registry,people,BJ McMullen,436c763a
info,registry,people,DN Subedi,fb0a571f
info,registry,people,FDW McCreath,bccead86
info,registry,people,Faisal Afridi,ed0bc503
info,registry,people,GSNFG Jayasuriya,b58b7db6
info,registry,people,HG Munsey,ff014c34
info,registry,people,Harmeet Singh,0bf15e52
info,registry,people,J Jarvis,ab54f9e7
info,registry,people,MA Leask,28131839
info,registry,people,MH Cross,8b261d84
info,registry,people,MM English,8629178f
info,registry,people,MRJ Watt,1252f71a
info,registry,people,Milind Kumar,b4296080
info,registry,people,NP Kenjige,f7d267f7
info,registry,people,O Davidson,63249474
info,registry,people,R Ugarkar,8a58f203
info,registry,people,RD Berrington,e21bc7f3
info,registry,people,SK Patel,f93b43dd
info,registry,people,SM Sharif,f43dd8c2
info,registry,people,SN Netravalkar,c8a3f688
info,registry,people,SP Krishnamurthi,3b8e7647
info,registry,people,SR Mukkamalla,156d0ea2
info,registry,people,Shayan Jahangir,571e1d2a
info,registry,people,Shubham Ranjane,6c7a68d0
info,registry,people,V Narayan Kutty,4bacee3d
