version,2.3.0
info,balls_per_over,6
info,team,India
info,team,Australia
info,team_type,international
info,gender,male
info,season,2002/03
info,date,2003/02/15
info,event,ICC World Cup
info,match_id,65244
info,match_type,ODI
info,match_type_number,1951
info,overs,50
info,match_number,11
info,venue,"SuperSport Park, Centurion"
info,city,Centurion
info,toss_winner,India
info,toss_decision,bat
info,player_of_match,JN Gillespie
info,umpire,EAR de Silva
info,umpire,DR Shepherd
info,tv_umpire,BG Jerling
info,match_referee,CH Lloyd
info,target_overs,2,50
info,target_runs,2,126
info,winner,Australia
info,winner_wickets,9
info,player,India,SC Ganguly
info,player,India,SR Tendulkar
info,player,India,V Sehwag
info,player,India,R Dravid
info,player,India,Yuvraj Singh
info,player,India,M Kaif
info,player,India,D Mongia
info,player,India,A Kumble
info,player,India,Harbhajan Singh
info,player,India,Z Khan
info,player,India,J Srinath
info,player,Australia,AC Gilchrist
info,player,Australia,ML Hayden
info,player,Australia,RT Ponting
info,player,Australia,DR Martyn
info,player,Australia,DS Lehmann
info,player,Australia,MG Bevan
info,player,Australia,A Symonds
info,player,Australia,GB Hogg
info,player,Australia,B Lee
info,player,Australia,GD McGrath
info,player,Australia,JN Gillespie
info,registry,people,A Kumble,0c2730df
info,registry,people,A Symonds,bd77eb62
info,registry,people,AC Gilchrist,2b6e6dec
info,registry,people,B Lee,dd09ff8e
info,registry,people,BG Jerling,26457e41
info,registry,people,CH Lloyd,5b445db0
info,registry,people,D Mongia,99663fa5
info,registry,people,DR Martyn,69762509
info,registry,people,DR Shepherd,8a578048
info,registry,people,DS Lehmann,53fe6ee4
info,registry,people,EAR de Silva,dc63f509
info,registry,people,GB Hogg,f708a0bc
info,registry,people,GD McGrath,ee7d0c82
info,registry,people,Harbhajan Singh,8b5b6769
info,registry,people,J Srinath,bad31fac
info,registry,people,JN Gillespie,74234d66
info,registry,people,M Kaif,d84378a4
info,registry,people,MG Bevan,c500ec39
info,registry,people,ML Hayden,d8699ab7
info,registry,people,R Dravid,0184dc35
info,registry,people,RT Ponting,7d415ea5
info,registry,people,SC Ganguly,725529bc
info,registry,people,SR Tendulkar,d2c2b2d5
info,registry,people,V Sehwag,8ba8195d
info,registry,people,Yuvraj Singh,1c914163
info,registry,people,Z Khan,91a4a398
