match_id,season,start_date,venue,innings,ball,actual_delivery,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,non_boundary,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,fielder_1,fielder_2,fielder_3
1450465,2024,2024-09-13,"Sikh Union Club Ground, Nairobi",1,0.1,0.1,Kenya,Rwanda,Q Abel,C Muthoni,B Murekatete,1,0,,,,,,,,,,,,,
1450465,2024,2024-09-13,"Sikh Union Club Ground, Nairobi",1,0.2,0.2,Kenya,Rwanda,C Muthoni,Q Abel,B Murekatete,0,0,,,,,,,,,,,,,
1450465,2024,2024-09-13,"Sikh Union Club Ground, Nairobi",1,0.3,0.3,Kenya,Rwanda,C Muthoni,Q Abel,B Murekatete,0,2,2,,,,,,,,,,,,
1450465,2024,2024-09-13,"Sikh Union Club Ground, Nairobi",1,0.4,0.3,Kenya,Rwanda,Q Abel,C Muthoni,B Murekatete,2,0,,,,,,,,,,,,,
1450465,2024,2024-09-13,"Sikh Union Club Ground, Nairobi",1,0.5,0.4,Kenya,Rwanda,Q Abel,C Muthoni,B Murekatete,4,0,,,,,,,,,,,,,
1450465,2024,2024-09-13,"Sikh Union Club Ground, Nairobi",1,0.6,0.5,Kenya,Rwanda,Q Abel,C Muthoni,B Murekatete,4,0,,,,,,,,,,,,,
1450465,2024,2024-09-13,"Sikh Union Club Ground, Nairobi",1,0.7,0.6,Kenya,Rwanda,Q Abel,C Muthoni,B Murekatete,0,0,,,,,,,,,,,,,
1450465,2024,2024-09-13,"Sikh Union Club Ground, Nairobi",1,1.1,1.1,Kenya,Rwanda,C Muthoni,Q Abel,I Muhawenimana,0,1,1,,,,,,,,,,,,
1450465,2024,2024-09-13,"Sikh Union Club Ground, Nairobi",1,1.2,1.1,Kenya,Rwanda,C Muthoni,Q Abel,I Muhawenimana,2,0,,,,,,,,,,,,,
1450465,2024,2024-09-13,"Sikh Union Club Ground, Nairobi",1,1.3,1.2,Kenya,Rwanda,C Muthoni,Q Abel,I Muhawenimana,0,0,,,,,,,,,,,,,
1450465,2024,2024-09-13,"Sikh Union Club Ground, Nairobi",1,1.4,1.3,Kenya,Rwanda,C Muthoni,Q Abel,I Muhawenimana,4,0,,,,,,,,,,,,,
1450465,2024,2024-09-13,"Sikh Union Club Ground, Nairobi",1,1.5,1.4,Kenya,Rwanda,C Muthoni,Q Abel,I Muhawenimana,0,0,,,,,,,,,,,,,
1450465,2024,2024-09-13,"Sikh Union Club Ground, Nairobi",1,1.6,1.5,Kenya,Rwanda,C Muthoni,Q Abel,I Muhawenimana,1,0,,,,,,,,,,,,,
1450465,2024,2024-09-13,"Sikh Union Club Ground, Nairobi",1,1.7,1.6,Kenya,Rwanda,Q Abel,C Muthoni,I Muhawenimana,0,0,,,,,,,,,,,,,
1450465,2024,2024-09-13,"Sikh Union Club Ground, Nairobi",1,2.1,2.1,Kenya,Rwanda,C Muthoni,Q Abel,MD Bimenyimana,1,0,,,,,,,,,,,,,
1450465,2024,2024-09-13,"Sikh Union Club Ground, Nairobi",1,2.2,2.2,Kenya,Rwanda,Q Abel,C Muthoni,MD Bimenyimana,0,0,,,,,,,,,,,,,
1450465,2024,2024-09-13,"Sikh Union Club Ground, Nairobi",1,2.3,2.3,Kenya,Rwanda,Q Abel,C Muthoni,MD Bimenyimana,1,0,,,,,,,,,,,,,
1450465,2024,2024-09-13,"Sikh Union Club Ground, Nairobi",1,2.4,2.4,Kenya,Rwanda,C Muthoni,Q Abel,MD Bimenyimana,0,0,,,,,,,,,,,,,
1450465,2024,2024-09-13,"Sikh Union Club Ground, Nairobi",1,2.5,2.5,Kenya,Rwanda,C Muthoni,Q Abel,MD Bimenyimana,0,0,,,,,,,bowled,C Muthoni,,,,,
1450465,2024,2024-09-13,"Sikh Union Club Ground, Nairobi",1,2.6,2.6,Kenya,Rwanda,MI Khagoitsa,Q Abel,MD Bimenyimana,0,0,,,,,,,,,,,,,
1450465,2024,2024-09-13,"Sikh Union Club Ground, Nairobi",1,3.1,3.1,Kenya,Rwanda,Q Abel,MI Khagoitsa,I Muhawenimana,1,0,,,,,,,,,,,,,
1450465,2024,2024-09-13,"Sikh Union Club Ground, Nairobi",1,3.2,3.2,Kenya,Rwanda,MI Khagoitsa,Q Abel,I Muhawenimana,0,0,,,,,,,,,,,,,
1450465,2024,2024-09-13,"Sikh Union Club Ground, Nairobi",1,3.3,3.3,Kenya,Rwanda,MI Khagoitsa,Q Abel,I Muhawenimana,0,0,,,,,,,,,,,,,
1450465,2024,2024-09-13,"Sikh Union Club Ground, Nairobi",1,3.4,3.4,Kenya,Rwanda,MI Khagoitsa,Q Abel,I Muhawenimana,4,0,,,,,,,,,,,,,
1450465,2024,2024-09-13,"Sikh Union Club Ground, Nairobi",1,3.5,3.5,Kenya,Rwanda,MI Khagoitsa,Q Abel,I Muhawenimana,1,0,,,,,,,,,,,,,
