version,2.3.0
info,balls_per_over,6
info,team,West Indies
info,team,South Africa
info,team_type,international
info,gender,male
info,season,2025/26
info,date,2026/01/31
info,event,West Indies tour of South Africa
info,match_id,1477611
info,match_type,T20
info,match_type_number,3680
info,overs,20
info,match_number,3
info,venue,"The Wanderers Stadium, Johannesburg"
info,city,Johannesburg
info,toss_winner,South Africa
info,toss_decision,field
info,player_of_match,G Motie
info,umpire,A Jacobs
info,umpire,BP Jele
info,reserve_umpire,Lauren Agenbag
info,tv_umpire,Stephen Harris
info,match_referee,S Wadvalla
info,target_overs,2,10
info,target_runs,2,125
info,winner,West Indies
info,winner_runs,6
info,method,D/L
info,player,West Indies,SD Hope
info,player,West Indies,J Charles
info,player,West Indies,SO Hetmyer
info,player,West Indies,R Powell
info,player,West Indies,R Shepherd
info,player,West Indies,RL Chase
info,player,West Indies,MW Forde
info,player,West Indies,JO Holder
info,player,West Indies,S Joseph
info,player,West Indies,G Motie
info,player,West Indies,AJ Hosein
info,player,South Africa,AK Markram
info,player,South Africa,Q de Kock
info,player,South Africa,D Brevis
info,player,South Africa,RD Rickelton
info,player,South Africa,GF Linde
info,player,South Africa,JF Smith
info,player,South Africa,T Stubbs
info,player,South Africa,C Bosch
info,player,South Africa,KA Maharaj
info,player,South Africa,KT Maphaka
info,player,South Africa,L Ngidi
info,registry,people,A Jacobs,70d117de
info,registry,people,AJ Hosein,4d7f517e
info,registry,people,AK Markram,6a26221c
info,registry,people,BP Jele,7bb1331e
info,registry,people,C Bosch,172dff15
info,registry,people,D Brevis,844e79d1
info,registry,people,G Motie,97bdec3d
info,registry,people,GF Linde,e5437608
info,registry,people,J Charles,09a9d073
info,registry,people,JF Smith,91cd48e0
info,registry,people,JO Holder,0f721006
info,registry,people,KA Maharaj,0b60eb09
info,registry,people,KT Maphaka,107c26fb
info,registry,people,L Ngidi,f834dcfc
info,registry,people,Lauren Agenbag,40849abd
info,registry,people,MW Forde,83d17bbc
info,registry,people,Q de Kock,372455c4
info,registry,people,R Powell,650d5e49
info,registry,people,R Shepherd,c5aef772
info,registry,people,RD Rickelton,e66732f8
info,registry,people,RL Chase,3feda4fa
info,registry,people,S Joseph,97290faf
info,registry,people,S Wadvalla,c1a1acf3
info,registry,people,SD Hope,1fc6ef83
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,Stephen Harris,fdcfd4aa
info,registry,people,T Stubbs,85b3fab2
