version,2.3.0
info,balls_per_over,6
info,team,Botswana
info,team,Sierra Leone
info,team_type,international
info,gender,female
info,season,2025
info,date,2025/04/29
info,event,BCA Kalahari Women's T20 International Tournament
info,match_id,1477674
info,match_type,T20
info,match_type_number,2260
info,overs,20
info,match_number,11
info,venue,"Botswana Cricket Association Oval 1, Gaborone"
info,city,Gaborone
info,toss_winner,Botswana
info,toss_decision,bat
info,player_of_match,AM Kamara
info,umpire,J Mukandi
info,umpire,L Msemburi
info,target_overs,2,20
info,target_runs,2,67
info,winner,Sierra Leone
info,winner_wickets,5
info,player,Botswana,L Mophakedi
info,player,Botswana,O Kgeresi
info,player,Botswana,T Shadrack
info,player,Botswana,W Moutswi
info,player,Botswana,G Matome
info,player,Botswana,A Mokgotlhe
info,player,Botswana,P Mapotsane
info,player,Botswana,M Phiase
info,player,Botswana,K Inakale
info,player,Botswana,L Kooagile
info,player,Botswana,G Setshwane
info,player,Sierra Leone,E Kamara
info,player,Sierra Leone,F Conteh
info,player,Sierra Leone,C Bull
info,player,Sierra Leone,AM Kamara
info,player,Sierra Leone,Z Kamara
info,player,Sierra Leone,Aminata Kamara
info,player,Sierra Leone,L Bull
info,player,Sierra Leone,A Fillie
info,player,Sierra Leone,M Turay
info,player,Sierra Leone,H Sawanneh
info,player,Sierra Leone,J Newland
info,registry,people,A Fillie,67412324
info,registry,people,A Mokgotlhe,781f1a40
info,registry,people,AM Kamara,4ca3d67d
info,registry,people,Aminata Kamara,f7aca3b3
info,registry,people,C Bull,a7b3bd26
info,registry,people,E Kamara,3f8915a0
info,registry,people,F Conteh,1dac0c4a
info,registry,people,G Matome,a6898f7a
info,registry,people,G Setshwane,3dbbe483
info,registry,people,H Sawanneh,89372586
info,registry,people,J Mukandi,b7954ae3
info,registry,people,J Newland,d2089154
info,registry,people,K Inakale,eea862f6
info,registry,people,L Bull,256d29e8
info,registry,people,L Kooagile,88c742fb
info,registry,people,L Mophakedi,c8cdbb92
info,registry,people,L Msemburi,ef6037f8
info,registry,people,M Phiase,537cc79f
info,registry,people,M Turay,1eec6a0f
info,registry,people,O Kgeresi,cba01c28
info,registry,people,P Mapotsane,9ea555a4
info,registry,people,T Shadrack,6d972d02
info,registry,people,TB Godisamang,ed188d83
info,registry,people,W Moutswi,e8c42000
info,registry,people,Z Kamara,a4e98e6b
