version,2.3.0
info,balls_per_over,6
info,team,Australia
info,team,India
info,team_type,international
info,gender,male
info,season,2025/26
info,date,2025/11/02
info,event,India tour of Australia
info,match_id,1478909
info,match_type,T20
info,match_type_number,3551
info,overs,20
info,match_number,3
info,venue,"Bellerive Oval, Hobart"
info,city,Hobart
info,toss_winner,India
info,toss_decision,field
info,player_of_match,Arshdeep Singh
info,umpire,PJ Gillespie
info,umpire,SJ Nogajski
info,tv_umpire,SAJ Craig
info,match_referee,JJ Crowe
info,target_overs,2,20
info,target_runs,2,187
info,winner,India
info,winner_wickets,5
info,player,Australia,TM Head
info,player,Australia,MR Marsh
info,player,Australia,JP Inglis
info,player,Australia,TH David
info,player,Australia,MJ Owen
info,player,Australia,MP Stoinis
info,player,Australia,MW Short
info,player,Australia,XC Bartlett
info,player,Australia,SA Abbott
info,player,Australia,NT Ellis
info,player,Australia,MP Kuhnemann
info,player,India,Abhishek Sharma
info,player,India,Shubman Gill
info,player,India,SA Yadav
info,player,India,Tilak Varma
info,player,India,AR Patel
info,player,India,Washington Sundar
info,player,India,JM Sharma
info,player,India,S Dube
info,player,India,Arshdeep Singh
info,player,India,CV Varun
info,player,India,JJ Bumrah
info,registry,people,AR Patel,2e171977
info,registry,people,Abhishek Sharma,f29185a1
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,CV Varun,5b7ab5a9
info,registry,people,JJ Bumrah,462411b3
info,registry,people,JJ Crowe,2e760301
info,registry,people,JM Sharma,800d2d97
info,registry,people,JP Inglis,989889ff
info,registry,people,MJ Owen,f2c936d7
info,registry,people,MP Kuhnemann,7b953689
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,MR Marsh,3d8feaf8
info,registry,people,MW Short,a90e53ec
info,registry,people,NT Ellis,9eb1455b
info,registry,people,PJ Gillespie,3e253a50
info,registry,people,RK Singh,0a509d6b
info,registry,people,S Dube,a4e37e47
info,registry,people,SA Abbott,1a2676c5
info,registry,people,SA Yadav,271f83cd
info,registry,people,SAJ Craig,689f2eed
info,registry,people,SJ Nogajski,9b3f9323
info,registry,people,Shubman Gill,b4b99816
info,registry,people,TH David,f1f99156
info,registry,people,TM Head,12b610c2
info,registry,people,Tilak Varma,b0482a1d
info,registry,people,Washington Sundar,f19ccfad
info,registry,people,XC Bartlett,3b53243a
