version,2.3.0
info,balls_per_over,6
info,team,United Arab Emirates
info,team,Hong Kong
info,team_type,international
info,gender,female
info,season,2025
info,date,2025/05/03
info,event,Women's T20 Quadrangular Series (in Thailand)
info,match_id,1483754
info,match_type,T20
info,match_type_number,2268
info,overs,20
info,match_number,1
info,venue,"Terdthai Cricket Ground, Bangkok"
info,city,Bangkok
info,toss_winner,Hong Kong
info,toss_decision,field
info,player_of_match,MD Botha
info,umpire,Rajesh Pillai
info,umpire,Samad Akbar
info,target_overs,2,20
info,target_runs,2,95
info,winner,United Arab Emirates
info,winner_runs,6
info,player,United Arab Emirates,ER Oza
info,player,United Arab Emirates,Theertha Satish
info,player,United Arab Emirates,Rinitha Rajith
info,player,United Arab Emirates,H Hotchandani
info,player,United Arab Emirates,MD Botha
info,player,United Arab Emirates,L Keny
info,player,United Arab Emirates,UCKA Dona
info,player,United Arab Emirates,Vaishnave Mahesh
info,player,United Arab Emirates,ATS Silva
info,player,United Arab Emirates,KC Thompson
info,player,United Arab Emirates,Keziah Miriam Sabin
info,player,Hong Kong,Shanzeen Shahzad
info,player,Hong Kong,NT Miles
info,player,Hong Kong,M Hill
info,player,Hong Kong,KY Chan
info,player,Hong Kong,Y Daswani
info,player,Hong Kong,Hiu Ying Cheung
info,player,Hong Kong,Ruchitha Venkatesh
info,player,Hong Kong,WK Lai
info,player,Hong Kong,Iqra Sahar
info,player,Hong Kong,Chan Ka Man
info,player,Hong Kong,M Wai Siu
info,registry,people,ATS Silva,9ca533cc
info,registry,people,Chan Ka Man,c4022bff
info,registry,people,ER Oza,fdc6b34d
info,registry,people,H Hotchandani,f537d39c
info,registry,people,Hiu Ying Cheung,9efce9fd
info,registry,people,Iqra Sahar,aaccb8ca
info,registry,people,KC Thompson,e381ae69
info,registry,people,KY Chan,6348c6e9
info,registry,people,Keziah Miriam Sabin,b5b21b1d
info,registry,people,L Keny,aea89d48
info,registry,people,M Hill,bf5e7711
info,registry,people,M Wai Siu,74eecff4
info,registry,people,MD Botha,c2c7e58a
info,registry,people,NT Miles,d27d0835
info,registry,people,Rajesh Pillai,03197911
info,registry,people,Rinitha Rajith,36ba7f0b
info,registry,people,Ruchitha Venkatesh,106135f5
info,registry,people,Samad Akbar,f05bd21b
info,registry,people,Shanzeen Shahzad,ce291858
info,registry,people,Theertha Satish,ee3dcb3f
info,registry,people,UCKA Dona,caa99fcb
info,registry,people,Vaishnave Mahesh,31c56f40
info,registry,people,WK Lai,6ab99b17
info,registry,people,Y Daswani,2038a273
