version,2.3.0
info,balls_per_over,6
info,team,Kuwait
info,team,Bhutan
info,team_type,international
info,gender,female
info,season,2025
info,date,2025/05/12
info,event,ICC Women's T20 World Cup Asia Region Qualifier
info,match_id,1483766
info,match_type,T20
info,match_type_number,2289
info,overs,20
info,match_number,7
info,venue,"Terdthai Cricket Ground, Bangkok"
info,city,Bangkok
info,toss_winner,Bhutan
info,toss_decision,field
info,player_of_match,Priyada Murali
info,umpire,Akbar Ali
info,umpire,Shivani Mishra
info,reserve_umpire,Samad Akbar
info,match_referee,V Bowen
info,target_overs,2,13
info,target_runs,2,86
info,winner,Kuwait
info,winner_runs,35
info,player,Kuwait,Priyada Murali
info,player,Kuwait,Zeefa Jilani
info,player,Kuwait,Amna Tariq
info,player,Kuwait,B Shanti
info,player,Kuwait,Maria Jasvi
info,player,Kuwait,Mariamma Hyder
info,player,Kuwait,Khadija Khalil
info,player,Kuwait,VS D'Souza
info,player,Kuwait,S Lita D'Sa
info,player,Kuwait,RM D'Souza
info,player,Kuwait,SL Gomez
info,player,Bhutan,T Zangmo
info,player,Bhutan,K Dema
info,player,Bhutan,D Wangmo
info,player,Bhutan,N Choden
info,player,Bhutan,Y Choden
info,player,Bhutan,S Choden
info,player,Bhutan,A Gurung
info,player,Bhutan,Eva Somsel Yangzom
info,player,Bhutan,R Choden
info,player,Bhutan,Sonam
info,player,Bhutan,Sangay Yangzom
info,registry,people,A Gurung,10854c82
info,registry,people,Akbar Ali,e753931d
info,registry,people,Amna Tariq,44b53fba
info,registry,people,B Shanti,f50ca46d
info,registry,people,D Wangmo,760fcf65
info,registry,people,Eva Somsel Yangzom,12cff704
info,registry,people,K Dema,0b211a32
info,registry,people,Khadija Khalil,7c61a686
info,registry,people,Maria Jasvi,4bed6af7
info,registry,people,Mariamma Hyder,c8ae2573
info,registry,people,N Choden,a904600a
info,registry,people,Priyada Murali,f4b942ae
info,registry,people,R Choden,c0266a6e
info,registry,people,RM D'Souza,f39682a5
info,registry,people,S Choden,e1e0775d
info,registry,people,S Lita D'Sa,a289cfa0
info,registry,people,SL Gomez,02264be0
info,registry,people,Samad Akbar,f05bd21b
info,registry,people,Sangay Yangzom,ee295039
info,registry,people,Shivani Mishra,2982a0c7
info,registry,people,Sonam,09cbca15
info,registry,people,T Zangmo,b1f21c0f
info,registry,people,V Bowen,7297ac4d
info,registry,people,VS D'Souza,2808b2d9
info,registry,people,Y Choden,6f17c546
info,registry,people,Zeefa Jilani,3f2b40f0
