version,2.3.0
info,balls_per_over,6
info,team,Nepal
info,team,Hong Kong
info,team_type,international
info,gender,female
info,season,2025
info,date,2025/05/13
info,event,ICC Women's T20 World Cup Asia Region Qualifier
info,match_id,1483770
info,match_type,T20
info,match_type_number,2291
info,overs,20
info,match_number,11
info,venue,"Asian Institute of Technology Ground, Bangkok"
info,city,Bangkok
info,toss_winner,Hong Kong
info,toss_decision,field
info,player_of_match,M Wai Siu
info,umpire,Akbar Ali
info,umpire,N Janani
info,reserve_umpire,Samad Akbar
info,match_referee,V Bowen
info,target_overs,2,5
info,target_runs,2,30
info,winner,Hong Kong
info,winner_wickets,7
info,player,Nepal,Samjhana Khadka
info,player,Nepal,K Kunwar
info,player,Nepal,I Barma
info,player,Nepal,Puja Mahato
info,player,Nepal,RC Belbashi
info,player,Nepal,R Airee
info,player,Nepal,Roma Thapa
info,player,Nepal,K Joshi
info,player,Nepal,Sabnam Rai
info,player,Nepal,Riya Sharma
info,player,Nepal,R Poddar
info,player,Hong Kong,Shanzeen Shahzad
info,player,Hong Kong,KY Chan
info,player,Hong Kong,NT Miles
info,player,Hong Kong,M Hill
info,player,Hong Kong,Y Daswani
info,player,Hong Kong,M Bibi
info,player,Hong Kong,SYD Chan
info,player,Hong Kong,Ruchitha Venkatesh
info,player,Hong Kong,Hiu Ying Cheung
info,player,Hong Kong,Iqra Sahar
info,player,Hong Kong,M Wai Siu
info,registry,people,Akbar Ali,e753931d
info,registry,people,Hiu Ying Cheung,9efce9fd
info,registry,people,I Barma,521abce2
info,registry,people,Iqra Sahar,aaccb8ca
info,registry,people,K Joshi,0cd297b9
info,registry,people,K Kunwar,97e6e41a
info,registry,people,KY Chan,6348c6e9
info,registry,people,M Bibi,34f86a2d
info,registry,people,M Hill,bf5e7711
info,registry,people,M Wai Siu,74eecff4
info,registry,people,N Janani,d06a665d
info,registry,people,NT Miles,d27d0835
info,registry,people,Puja Mahato,4b95058b
info,registry,people,R Airee,4b3057bc
info,registry,people,R Poddar,4e38a3d6
info,registry,people,RC Belbashi,dfdaca74
info,registry,people,Riya Sharma,8b7cda26
info,registry,people,Roma Thapa,05d9faac
info,registry,people,Ruchitha Venkatesh,106135f5
info,registry,people,SYD Chan,4839b023
info,registry,people,Sabnam Rai,8eb52953
info,registry,people,Samad Akbar,f05bd21b
info,registry,people,Samjhana Khadka,765a2354
info,registry,people,Shanzeen Shahzad,ce291858
info,registry,people,V Bowen,7297ac4d
info,registry,people,Y Daswani,2038a273
