version,2.3.0
info,balls_per_over,6
info,team,Spain
info,team,Jersey
info,team_type,international
info,gender,female
info,season,2025
info,date,2025/05/26
info,event,ICC Women's T20 World Cup Europe Division 2 Qualifier
info,match_id,1486094
info,match_type,T20
info,match_type_number,2310
info,overs,20
info,match_number,7
info,venue,Roma Cricket Ground
info,city,Spinaceto
info,toss_winner,Jersey
info,toss_decision,field
info,player_of_match,A Aikenhead
info,umpire,I McDonald
info,umpire,S Fernando
info,reserve_umpire,S Hodgson
info,match_referee,G McCrea
info,target_overs,2,20
info,target_runs,2,95
info,winner,Jersey
info,winner_wickets,7
info,player,Spain,A Hartley
info,player,Spain,A Davidson-Soler
info,player,Spain,NH Berejo
info,player,Spain,A Brown-Carrera
info,player,Spain,Amelia Jones
info,player,Spain,Uswa Syed
info,player,Spain,EMC Fowler
info,player,Spain,P Chilongia
info,player,Spain,S Basharat
info,player,Spain,Muskan Naseeb
info,player,Spain,Rabia Mushtaq
info,player,Jersey,A Merritt
info,player,Jersey,A Aikenhead
info,player,Jersey,G Wetherall
info,player,Jersey,F Tanguy
info,player,Jersey,M Maguire
info,player,Jersey,A Mossop
info,player,Jersey,N Greig
info,player,Jersey,O Bastin
info,player,Jersey,T Smith
info,player,Jersey,CM Greechan
info,player,Jersey,Tallulah Spry
info,registry,people,A Aikenhead,007f121f
info,registry,people,A Brown-Carrera,9e866d80
info,registry,people,A Davidson-Soler,71d6fd2c
info,registry,people,A Hartley,e31c12c3
info,registry,people,A Merritt,4c87bd01
info,registry,people,A Mossop,006b0d25
info,registry,people,Amelia Jones,61546a94
info,registry,people,CM Greechan,569bbcbb
info,registry,people,EMC Fowler,4f88a917
info,registry,people,F Tanguy,c46400b7
info,registry,people,G McCrea,46f4a901
info,registry,people,G Wetherall,5c77d7cb
info,registry,people,I McDonald,37b55799
info,registry,people,M Maguire,0441a1f5
info,registry,people,Muskan Naseeb,517e1077
info,registry,people,N Greig,4dd104cf
info,registry,people,NH Berejo,a9ec2608
info,registry,people,O Bastin,9b6dde07
info,registry,people,P Chilongia,764d8336
info,registry,people,Rabia Mushtaq,a11dbbdb
info,registry,people,S Basharat,1356b739
info,registry,people,S Fernando,bbeb5b15
info,registry,people,S Hodgson,0d8392ae
info,registry,people,T Smith,f24ffaab
info,registry,people,Tallulah Spry,7131373f
info,registry,people,Uswa Syed,cbc0e027
