version,2.3.0
info,balls_per_over,6
info,team,Tanzania
info,team,Rwanda
info,team_type,international
info,gender,female
info,season,2025
info,date,2025/06/13
info,event,Kwibuka Women's Twenty20 Tournament
info,match_id,1487729
info,match_type,T20
info,match_type_number,2369
info,overs,20
info,venue,"Gahanga International Cricket Stadium, Rwanda"
info,city,Kigali City
info,toss_winner,Rwanda
info,toss_decision,field
info,player_of_match,AS Qwele
info,umpire,Gaston Niyibizi
info,umpire,S Kintu
info,reserve_umpire,V Iriho
info,match_referee,ET Dube
info,target_overs,2,20
info,target_runs,2,60
info,winner,Tanzania
info,winner_runs,16
info,player,Tanzania,FO Kibasu
info,player,Tanzania,NJ Pius
info,player,Tanzania,S Mtae
info,player,Tanzania,HM Omary
info,player,Tanzania,JG Kimaro
info,player,Tanzania,NN Saidi
info,player,Tanzania,AS Qwele
info,player,Tanzania,SH Mohamedi
info,player,Tanzania,PZ Kamunya
info,player,Tanzania,TS Omary
info,player,Tanzania,MH Ushanga
info,player,Rwanda,MD Bimenyimana
info,player,Rwanda,M Uwase
info,player,Rwanda,C Uwase
info,player,Rwanda,S Niyomuhoza
info,player,Rwanda,H Ishimwe
info,player,Rwanda,A Ikuzwe
info,player,Rwanda,G Ingabire
info,player,Rwanda,B Murekatete
info,player,Rwanda,R Shimwamana
info,player,Rwanda,Rosine Irera
info,player,Rwanda,Sylvia Usabyimana
info,registry,people,A Ikuzwe,6762a445
info,registry,people,AS Qwele,26b3df21
info,registry,people,B Murekatete,2d4317da
info,registry,people,C Uwase,808bb510
info,registry,people,ET Dube,4c0891bc
info,registry,people,FO Kibasu,1c726c76
info,registry,people,G Ingabire,2c00691c
info,registry,people,Gaston Niyibizi,eb99c84c
info,registry,people,H Ishimwe,ffa296f7
info,registry,people,HM Omary,2cbe5db1
info,registry,people,JG Kimaro,3f0be08f
info,registry,people,M Uwase,7d6ce83f
info,registry,people,MD Bimenyimana,c1a0cebe
info,registry,people,MH Ushanga,0286eabe
info,registry,people,NJ Pius,f4270fc7
info,registry,people,NN Saidi,16610c7b
info,registry,people,PZ Kamunya,6e60bbe2
info,registry,people,R Shimwamana,03fb10bd
info,registry,people,Rosine Irera,b84718fd
info,registry,people,S Kintu,ff387f93
info,registry,people,S Mtae,bb641155
info,registry,people,S Niyomuhoza,a5424013
info,registry,people,SH Mohamedi,10ab6a37
info,registry,people,Sylvia Usabyimana,7a7e2be6
info,registry,people,TS Omary,88e90658
info,registry,people,V Iriho,2853eafb
