version,2.3.0
info,balls_per_over,6
info,team,Mongolia
info,team,Philippines
info,team_type,international
info,gender,female
info,season,2025
info,date,2025/06/08
info,event,Women's T20 Pentangular Series (in Japan)
info,match_id,1489041
info,match_type,T20
info,match_type_number,2349
info,overs,20
info,venue,Sano International Cricket Ground 2
info,city,Sano
info,toss_winner,Mongolia
info,toss_decision,bat
info,player_of_match,ABY Smith
info,umpire,Adam Birss
info,umpire,Vipin Sukhwal
info,target_overs,2,20
info,target_runs,2,91
info,winner,Philippines
info,winner_wickets,9
info,player,Mongolia,J Tugsjargal
info,player,Mongolia,B Ichinkhorloo
info,player,Mongolia,G Anujin
info,player,Mongolia,B Namuunzul
info,player,Mongolia,E Khaliunaa
info,player,Mongolia,M Batnasan
info,player,Mongolia,O Amarjargal
info,player,Mongolia,O Erdenebaatar
info,player,Mongolia,U Bayarjavkhlan
info,player,Mongolia,G Urjindulam
info,player,Mongolia,J Erdenesuvd
info,player,Philippines,JKD Andreano
info,player,Philippines,ABY Smith
info,player,Philippines,AR Valdez
info,player,Philippines,KK Donovan
info,player,Philippines,Karri Gullem Keen
info,player,Philippines,Kyte Gullem Keen
info,player,Philippines,Angela Busa
info,player,Philippines,AS Miranda
info,player,Philippines,JR Medianesta
info,player,Philippines,Marica Taira
info,player,Philippines,Ma Luz Barcelona
info,registry,people,ABY Smith,fcb4448f
info,registry,people,AR Valdez,3c3f34b0
info,registry,people,AS Miranda,283e47fa
info,registry,people,Adam Birss,0cabf6f4
info,registry,people,Angela Busa,cbef5af4
info,registry,people,B Ichinkhorloo,3cc55f88
info,registry,people,B Namuunzul,e14e70c0
info,registry,people,E Khaliunaa,1349b940
info,registry,people,G Anujin,e749f016
info,registry,people,G Urjindulam,a51e7c73
info,registry,people,J Erdenesuvd,24dacf72
info,registry,people,J Tugsjargal,e7af8a61
info,registry,people,JKD Andreano,757baa30
info,registry,people,JR Medianesta,538cb58a
info,registry,people,KK Donovan,ef2a7af4
info,registry,people,Karri Gullem Keen,bb7b014a
info,registry,people,Kyte Gullem Keen,f3f654c2
info,registry,people,M Batnasan,0e01e881
info,registry,people,Ma Luz Barcelona,b36c42ac
info,registry,people,Marica Taira,4cd20b08
info,registry,people,O Amarjargal,c054cf6f
info,registry,people,O Erdenebaatar,f40bc7e3
info,registry,people,U Bayarjavkhlan,92c81a4f
info,registry,people,Vipin Sukhwal,f7094357
