version,2.3.0
info,balls_per_over,6
info,team,New Zealand
info,team,Sri Lanka
info,gender,female
info,team_type,international
info,season,2026
info,date,2026/06/16
info,match_id,1490683
info,match_type,T20
info,match_type_number,2861
info,overs,20
info,event,ICC Women's T20 World Cup
info,match_number,7
info,venue,"The Rose Bowl, Southampton"
info,city,Southampton
info,toss_winner,New Zealand
info,toss_decision,bat
info,player_of_match,NND de Silva
info,umpire,Gayathri Venugopal
info,umpire,K Klaaste
info,reserve_umpire,N Janani
info,tv_umpire,VG Rathi
info,match_referee,GS Lakshmi
info,target_overs,2,20
info,target_runs,2,151
info,winner,Sri Lanka
info,winner_wickets,5
info,player,New Zealand,IC Gaze
info,player,New Zealand,GE Plimmer
info,player,New Zealand,AC Kerr
info,player,New Zealand,SFM Devine
info,player,New Zealand,BM Halliday
info,player,New Zealand,ML Green
info,player,New Zealand,IG Sharp
info,player,New Zealand,JM Kerr
info,player,New Zealand,NH Patel
info,player,New Zealand,RA Mair
info,player,New Zealand,BG Illing
info,player,Sri Lanka,RMVD Gunaratne
info,player,Sri Lanka,AC Jayangani
info,player,Sri Lanka,H Madavi
info,player,Sri Lanka,GWHM Perera
info,player,Sri Lanka,WK Dilhari
info,player,Sri Lanka,NND de Silva
info,player,Sri Lanka,EMKNH Senavirathna
info,player,Sri Lanka,BMSM Kumari
info,player,Sri Lanka,K Kavindi
info,player,Sri Lanka,M Ayodhya
info,player,Sri Lanka,NM Meepage
info,registry,people,AC Jayangani,ac56b5a7
info,registry,people,AC Kerr,7673c908
info,registry,people,BG Illing,80a0cd77
info,registry,people,BM Halliday,efb6cb2a
info,registry,people,BMSM Kumari,b55fb828
info,registry,people,EMKNH Senavirathna,ec691a5b
info,registry,people,GE Plimmer,575494db
info,registry,people,GS Lakshmi,ba8d5615
info,registry,people,GWHM Perera,53068b45
info,registry,people,Gayathri Venugopal,20e3ae99
info,registry,people,H Madavi,85021bcd
info,registry,people,IC Gaze,60c250bf
info,registry,people,IG Sharp,4de0779a
info,registry,people,JM Kerr,9af58032
info,registry,people,K Kavindi,2fa916b3
info,registry,people,K Klaaste,6cc1d918
info,registry,people,M Ayodhya,843e067e
info,registry,people,ML Green,865eae1f
info,registry,people,N Janani,d06a665d
info,registry,people,NH Patel,d945db3e
info,registry,people,NM Meepage,420d4d31
info,registry,people,NND de Silva,f0b4294e
info,registry,people,RA Mair,d5eb8b84
info,registry,people,RMVD Gunaratne,9e866b59
info,registry,people,SFM Devine,de69af96
info,registry,people,VG Rathi,144e5b16
info,registry,people,WK Dilhari,c34a15e6
