version,2.3.0
info,balls_per_over,6
info,team,West Indies
info,team,Scotland
info,gender,female
info,team_type,international
info,season,2026
info,date,2026/06/18
info,match_id,1490688
info,match_type,T20
info,match_type_number,2870
info,overs,20
info,event,ICC Women's T20 World Cup
info,match_number,12
info,venue,"Headingley, Leeds"
info,city,Leeds
info,toss_winner,Scotland
info,toss_decision,field
info,player_of_match,SR Taylor
info,umpire,CA Polosak
info,umpire,K Klaaste
info,reserve_umpire,N Perera
info,tv_umpire,N Janani
info,match_referee,GS Lakshmi
info,target_overs,2,20
info,target_runs,2,154
info,winner,West Indies
info,winner_runs,7
info,player,West Indies,Q Joseph
info,player,West Indies,HK Matthews
info,player,West Indies,SA Campbelle
info,player,West Indies,DJS Dottin
info,player,West Indies,JKC Claxton
info,player,West Indies,CA Henry
info,player,West Indies,SR Taylor
info,player,West Indies,J Glasgow
info,player,West Indies,AA Alleyne
info,player,West Indies,ASS Fletcher
info,player,West Indies,K Ramharack
info,player,Scotland,DEM Carter
info,player,Scotland,K Fraser
info,player,Scotland,KE Bryce
info,player,Scotland,SJ Bryce
info,player,Scotland,M McColl
info,player,Scotland,PA Chatterji
info,player,Scotland,A Lister
info,player,Scotland,R Slater
info,player,Scotland,KL Gordon
info,player,Scotland,C Abel
info,player,Scotland,G Fontenla
info,registry,people,A Lister,090c0213
info,registry,people,AA Alleyne,4b0e3049
info,registry,people,ASS Fletcher,42d9dd09
info,registry,people,C Abel,d92d3563
info,registry,people,CA Henry,75820733
info,registry,people,CA Polosak,26a360d2
info,registry,people,DEM Carter,c3394c16
info,registry,people,DJS Dottin,53bee17f
info,registry,people,G Fontenla,581eec7e
info,registry,people,GS Lakshmi,ba8d5615
info,registry,people,HK Matthews,d32cf49a
info,registry,people,J Glasgow,a2632c7c
info,registry,people,JKC Claxton,e22f8ec1
info,registry,people,K Fraser,a0a65375
info,registry,people,K Klaaste,6cc1d918
info,registry,people,K Ramharack,321c980e
info,registry,people,KE Bryce,f13d3eba
info,registry,people,KL Gordon,00823a96
info,registry,people,M Mangru,b9fec7a5
info,registry,people,M McColl,d5fa2ab3
info,registry,people,N Janani,d06a665d
info,registry,people,N Perera,129709f9
info,registry,people,PA Chatterji,8e7be59c
info,registry,people,Q Joseph,d6164dc0
info,registry,people,R Slater,8a452195
info,registry,people,SA Campbelle,a7cd72b2
info,registry,people,SJ Bryce,2ca65aee
info,registry,people,SR Taylor,92cf79a8
