version,2.3.0
info,balls_per_over,6
info,team,Ireland
info,team,Sri Lanka
info,gender,female
info,team_type,international
info,season,2026
info,date,2026/06/23
info,match_id,1490696
info,match_type,T20
info,match_type_number,2883
info,overs,20
info,event,ICC Women's T20 World Cup
info,match_number,20
info,venue,"County Ground, Bristol"
info,city,Bristol
info,toss_winner,Sri Lanka
info,toss_decision,field
info,player_of_match,AC Jayangani
info,umpire,C La Borde
info,umpire,Kim Cotton
info,reserve_umpire,Gayathri Venugopal
info,tv_umpire,Saleema Imtiaz
info,match_referee,GS Lakshmi
info,target_overs,2,20
info,target_runs,2,131
info,winner,Sri Lanka
info,winner_wickets,9
info,player,Ireland,A Hunter
info,player,Ireland,GH Lewis
info,player,Ireland,O Prendergast
info,player,Ireland,R Stokell
info,player,Ireland,L Paul
info,player,Ireland,A Tector
info,player,Ireland,L Little
info,player,Ireland,AN Kelly
info,player,Ireland,AK Maguire
info,player,Ireland,LA McBride
info,player,Ireland,C Murray
info,player,Sri Lanka,AC Jayangani
info,player,Sri Lanka,I Dulani
info,player,Sri Lanka,NND de Silva
info,player,Sri Lanka,GWHM Perera
info,player,Sri Lanka,H Madavi
info,player,Sri Lanka,H Karunaratne
info,player,Sri Lanka,WK Dilhari
info,player,Sri Lanka,EMKNH Senavirathna
info,player,Sri Lanka,BMSM Kumari
info,player,Sri Lanka,NM Meepage
info,player,Sri Lanka,M Ayodhya
info,registry,people,A Hunter,e8fa03ed
info,registry,people,A Tector,d58e9bfb
info,registry,people,AC Jayangani,ac56b5a7
info,registry,people,AK Maguire,f888a374
info,registry,people,AN Kelly,397369e0
info,registry,people,BMSM Kumari,b55fb828
info,registry,people,C La Borde,32157f67
info,registry,people,C Murray,5a50471c
info,registry,people,EMKNH Senavirathna,ec691a5b
info,registry,people,GH Lewis,1b9d1579
info,registry,people,GS Lakshmi,ba8d5615
info,registry,people,GWHM Perera,53068b45
info,registry,people,Gayathri Venugopal,20e3ae99
info,registry,people,H Karunaratne,f8e27d4a
info,registry,people,H Madavi,85021bcd
info,registry,people,I Dulani,a2c23f31
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,L Little,4f86926b
info,registry,people,L Paul,07248d8e
info,registry,people,LA McBride,9bd0d19d
info,registry,people,M Ayodhya,843e067e
info,registry,people,NM Meepage,420d4d31
info,registry,people,NND de Silva,f0b4294e
info,registry,people,O Prendergast,d8f20ba5
info,registry,people,R Stokell,def7b1bb
info,registry,people,Saleema Imtiaz,d17d21d5
info,registry,people,WK Dilhari,c34a15e6
