version,2.3.0
info,balls_per_over,6
info,team,Bangladesh
info,team,India
info,gender,female
info,team_type,international
info,season,2026
info,date,2026/06/25
info,match_id,1490699
info,match_type,T20
info,match_type_number,2886
info,overs,20
info,event,ICC Women's T20 World Cup
info,match_number,23
info,venue,"Old Trafford, Manchester"
info,city,Manchester
info,toss_winner,Bangladesh
info,toss_decision,bat
info,player_of_match,Shafali Verma
info,umpire,Kim Cotton
info,umpire,Saleema Imtiaz
info,reserve_umpire,S Redfern
info,tv_umpire,AY Harris
info,match_referee,TL Anderson
info,target_overs,2,20
info,target_runs,2,137
info,winner,India
info,winner_wickets,5
info,player,Bangladesh,Dilara Akter
info,player,Bangladesh,Juairiya Ferdous
info,player,Bangladesh,S Mostary
info,player,Bangladesh,Nigar Sultana
info,player,Bangladesh,Sharmin Akhter
info,player,Bangladesh,Shorna Akter
info,player,Bangladesh,Ritu Moni
info,player,Bangladesh,Rabeya Khan
info,player,Bangladesh,Nahida Akter
info,player,Bangladesh,Marufa Akter
info,player,Bangladesh,Sanjida Akter Meghla
info,player,India,S Mandhana
info,player,India,Shafali Verma
info,player,India,YH Bhatia
info,player,India,RM Ghosh
info,player,India,JI Rodrigues
info,player,India,H Kaur
info,player,India,DB Sharma
info,player,India,RP Yadav
info,player,India,N Shree Charani
info,player,India,NSS Sharma
info,player,India,Renuka Singh
info,registry,people,AY Harris,90d95b82
info,registry,people,DB Sharma,201fef33
info,registry,people,Dilara Akter,f2670a3d
info,registry,people,H Kaur,53cd8da6
info,registry,people,JI Rodrigues,cb08b611
info,registry,people,Juairiya Ferdous,e6f05a84
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,Marufa Akter,a50797a4
info,registry,people,N Shree Charani,583ce32c
info,registry,people,NSS Sharma,5f22ccae
info,registry,people,Nahida Akter,66078174
info,registry,people,Nigar Sultana,3827f6a2
info,registry,people,RM Ghosh,721e0199
info,registry,people,RP Yadav,6c3aef71
info,registry,people,Rabeya Khan,aaf037b1
info,registry,people,Renuka Singh,7298db76
info,registry,people,Ritu Moni,ad3940a5
info,registry,people,S Mandhana,5d2eda89
info,registry,people,S Mostary,94de63bf
info,registry,people,S Redfern,5b038989
info,registry,people,Saleema Imtiaz,d17d21d5
info,registry,people,Sanjida Akter Meghla,a6412417
info,registry,people,Shafali Verma,d8f59089
info,registry,people,Sharmin Akhter,84fdd3cf
info,registry,people,Shorna Akter,89895ae1
info,registry,people,TL Anderson,f52ddf8d
info,registry,people,YH Bhatia,9c3d4e8a
