version,2.3.0
info,balls_per_over,6
info,team,West Indies
info,team,Ireland
info,gender,female
info,team_type,international
info,season,2026
info,date,2026/06/27
info,match_id,1490703
info,match_type,T20
info,match_type_number,2899
info,overs,20
info,event,ICC Women's T20 World Cup
info,match_number,27
info,venue,"County Ground, Bristol"
info,city,Bristol
info,toss_winner,Ireland
info,toss_decision,field
info,player_of_match,O Prendergast
info,umpire,CA Polosak
info,umpire,Shathira Jakir
info,reserve_umpire,K Klaaste
info,tv_umpire,VG Rathi
info,match_referee,JM Pereira
info,target_overs,2,20
info,target_runs,2,129
info,winner,Ireland
info,winner_wickets,6
info,player,West Indies,Q Joseph
info,player,West Indies,HK Matthews
info,player,West Indies,SA Campbelle
info,player,West Indies,SR Taylor
info,player,West Indies,DJS Dottin
info,player,West Indies,CA Henry
info,player,West Indies,JKC Claxton
info,player,West Indies,J Glasgow
info,player,West Indies,AA Alleyne
info,player,West Indies,ASS Fletcher
info,player,West Indies,A Munisar
info,player,Ireland,A Hunter
info,player,Ireland,GH Lewis
info,player,Ireland,O Prendergast
info,player,Ireland,R Stokell
info,player,Ireland,L Paul
info,player,Ireland,L Little
info,player,Ireland,A Tector
info,player,Ireland,AN Kelly
info,player,Ireland,AK Maguire
info,player,Ireland,J Maguire
info,player,Ireland,C Murray
info,registry,people,A Hunter,e8fa03ed
info,registry,people,A Munisar,a811cb83
info,registry,people,A Tector,d58e9bfb
info,registry,people,AA Alleyne,4b0e3049
info,registry,people,AK Maguire,f888a374
info,registry,people,AN Kelly,397369e0
info,registry,people,ASS Fletcher,42d9dd09
info,registry,people,C Murray,5a50471c
info,registry,people,CA Henry,75820733
info,registry,people,CA Polosak,26a360d2
info,registry,people,DJS Dottin,53bee17f
info,registry,people,GH Lewis,1b9d1579
info,registry,people,HK Matthews,d32cf49a
info,registry,people,J Glasgow,a2632c7c
info,registry,people,J Maguire,1b1c23bb
info,registry,people,JKC Claxton,e22f8ec1
info,registry,people,JM Pereira,f9a4a039
info,registry,people,K Klaaste,6cc1d918
info,registry,people,L Little,4f86926b
info,registry,people,L Paul,07248d8e
info,registry,people,O Prendergast,d8f20ba5
info,registry,people,Q Joseph,d6164dc0
info,registry,people,R Stokell,def7b1bb
info,registry,people,SA Campbelle,a7cd72b2
info,registry,people,SR Taylor,92cf79a8
info,registry,people,Shathira Jakir,6b992a6f
info,registry,people,VG Rathi,144e5b16
