version,2.3.0
info,balls_per_over,6
info,team,Uganda
info,team,Nigeria
info,team_type,international
info,gender,male
info,season,2025
info,date,2025/07/18
info,event,Pearl of Africa T20I Series
info,match_id,1494116
info,match_type,T20
info,match_type_number,3322
info,overs,20
info,match_number,3
info,venue,Entebbe Cricket Oval
info,city,Entebbe
info,toss_winner,Uganda
info,toss_decision,bat
info,player_of_match,R Obuya
info,umpire,Charles Kariuki
info,umpire,IO Oyieko
info,reserve_umpire,John Mayeku
info,match_referee,O Chirombe
info,target_overs,2,18
info,target_runs,2,163
info,winner,Uganda
info,winner_runs,77
info,method,D/L
info,player,Uganda,SG Mangela
info,player,Uganda,R Lutaaya
info,player,Uganda,Raghav Dhawan
info,player,Uganda,R Obuya
info,player,Uganda,CN Kakuru
info,player,Uganda,DM Nakrani
info,player,Uganda,M Musinguzi
info,player,Uganda,F Nsubuga
info,player,Uganda,C Kyewuta
info,player,Uganda,J Miyaji
info,player,Uganda,AR Ramjani
info,player,Nigeria,Sulaimon Runsewe
info,player,Nigeria,Selim Salau
info,player,Nigeria,I Danladi
info,player,Nigeria,P Useni
info,player,Nigeria,SA Okpe
info,player,Nigeria,IO Okpe
info,player,Nigeria,AE Isesele
info,player,Nigeria,VD Adewoye
info,player,Nigeria,Mohameed Taiwo
info,player,Nigeria,P Aho
info,player,Nigeria,DNA Ankrah
info,registry,people,AE Isesele,5249f9c4
info,registry,people,AR Ramjani,30d8136b
info,registry,people,C Kyewuta,395695ce
info,registry,people,CN Kakuru,f6aed283
info,registry,people,Charles Kariuki,8de34db0
info,registry,people,DM Nakrani,46a7ac78
info,registry,people,DNA Ankrah,c6614fc0
info,registry,people,F Nsubuga,87e33d07
info,registry,people,I Danladi,c156cc1f
info,registry,people,IO Okpe,1c5c3dce
info,registry,people,IO Oyieko,de4828fa
info,registry,people,J Miyaji,414d8a10
info,registry,people,John Mayeku,9d819a32
info,registry,people,M Musinguzi,34712b35
info,registry,people,Mohameed Taiwo,a9d788e3
info,registry,people,O Chirombe,6345307f
info,registry,people,P Aho,2e392afa
info,registry,people,P Useni,71fa64d6
info,registry,people,R Lutaaya,04e0cdec
info,registry,people,R Obuya,6bc04a3e
info,registry,people,Raghav Dhawan,ac64c2ef
info,registry,people,SA Okpe,681f522f
info,registry,people,SG Mangela,eb3c3cca
info,registry,people,Selim Salau,d18d3a0f
info,registry,people,Sulaimon Runsewe,c25d26dc
info,registry,people,VD Adewoye,45a34a2d
