version,2.3.0
info,balls_per_over,6
info,team,India
info,team,England
info,gender,male
info,team_type,international
info,season,2026
info,date,2026/07/01
info,match_id,1496574
info,match_type,T20
info,match_type_number,4007
info,overs,20
info,event,India tour of England
info,match_number,1
info,venue,"Riverside Ground, Chester-le-Street"
info,city,Chester-le-Street
info,toss_winner,India
info,toss_decision,bat
info,umpire,GD Lloyd
info,umpire,M Burns
info,reserve_umpire,RJ Warren
info,tv_umpire,MJ Saggers
info,match_referee,RB Richardson
info,outcome,no result
info,player,India,SV Samson
info,player,India,Abhishek Sharma
info,player,India,Ishan Kishan
info,player,India,SS Iyer
info,player,India,Tilak Varma
info,player,India,S Dube
info,player,India,Harshit Rana
info,player,India,AR Patel
info,player,India,Ravi Bishnoi
info,player,India,Arshdeep Singh
info,player,India,CV Varun
info,player,England,PD Salt
info,player,England,JC Buttler
info,player,England,HC Brook
info,player,England,JG Bethell
info,player,England,T Banton
info,player,England,SM Curran
info,player,England,WG Jacks
info,player,England,LA Dawson
info,player,England,AU Rashid
info,player,England,L Wood
info,player,England,S Mahmood
info,registry,people,AR Patel,2e171977
info,registry,people,AU Rashid,249d60c9
info,registry,people,Abhishek Sharma,f29185a1
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,CV Varun,5b7ab5a9
info,registry,people,GD Lloyd,36e0770d
info,registry,people,HC Brook,4ae1755b
info,registry,people,Harshit Rana,77b1aa15
info,registry,people,Ishan Kishan,752f7486
info,registry,people,JC Buttler,99b75528
info,registry,people,JG Bethell,3c55c703
info,registry,people,L Wood,65b6943c
info,registry,people,LA Dawson,4a461c24
info,registry,people,M Burns,b3bd0666
info,registry,people,MJ Saggers,402d5937
info,registry,people,PD Salt,3d284ca3
info,registry,people,RB Richardson,410e2f12
info,registry,people,RJ Warren,9d1c62d7
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,S Dube,a4e37e47
info,registry,people,S Mahmood,0f6db197
info,registry,people,SM Curran,e94915e6
info,registry,people,SS Iyer,85ec8e33
info,registry,people,SV Samson,a4cc73aa
info,registry,people,T Banton,25f7b7d6
info,registry,people,Tilak Varma,b0482a1d
info,registry,people,WG Jacks,9caf69a1
