version,2.3.0
info,balls_per_over,6
info,team,Uganda
info,team,Zimbabwe
info,team_type,international
info,gender,female
info,season,2025
info,date,2025/09/04
info,event,ICC Women's T20 World Cup Africa Region Division One Qualifier
info,match_id,1498719
info,match_type,T20
info,match_type_number,2478
info,overs,20
info,venue,"Namibia Cricket Ground, Windhoek"
info,city,Windhoek
info,toss_winner,Zimbabwe
info,toss_decision,field
info,player_of_match,N Gwanzura
info,umpire,IO Oyieko
info,umpire,K Klaaste
info,reserve_umpire,D Odhiambo
info,match_referee,SA Fritz
info,target_overs,2,20
info,target_runs,2,120
info,winner,Zimbabwe
info,winner_wickets,5
info,player,Uganda,J Mbabazi
info,player,Uganda,E Iloku
info,player,Uganda,I Nakisuuyi
info,player,Uganda,R Musamali
info,player,Uganda,S Nampiina
info,player,Uganda,P Alako
info,player,Uganda,M Ariokot
info,player,Uganda,K Awino
info,player,Uganda,I Mutoni
info,player,Uganda,C Aweko
info,player,Uganda,S Akiteng
info,player,Zimbabwe,M Mupachikwa
info,player,Zimbabwe,K Ndlovu
info,player,Zimbabwe,L Tshuma
info,player,Zimbabwe,CS Mugeri-Tiripano
info,player,Zimbabwe,N Gwanzura
info,player,Zimbabwe,B Biza
info,player,Zimbabwe,CT Dhururu
info,player,Zimbabwe,N Sibanda
info,player,Zimbabwe,F Chipare
info,player,Zimbabwe,J Nkomo
info,player,Zimbabwe,L Mabhero
info,registry,people,B Biza,8a522c6c
info,registry,people,C Aweko,01c1b96c
info,registry,people,CS Mugeri-Tiripano,99c86133
info,registry,people,CT Dhururu,8d7fba79
info,registry,people,D Odhiambo,45994517
info,registry,people,E Iloku,f1fa1c6b
info,registry,people,F Chipare,c0dc015b
info,registry,people,I Mutoni,284604cf
info,registry,people,I Nakisuuyi,2f145a4f
info,registry,people,IO Oyieko,de4828fa
info,registry,people,J Mbabazi,aaa6e84c
info,registry,people,J Nkomo,36dfa62e
info,registry,people,K Awino,c4e7749a
info,registry,people,K Klaaste,6cc1d918
info,registry,people,K Ndlovu,8d25271a
info,registry,people,L Mabhero,37f9eb59
info,registry,people,L Tshuma,f281dd00
info,registry,people,M Ariokot,c328bc6c
info,registry,people,M Mupachikwa,6657b319
info,registry,people,N Gwanzura,9c2e3040
info,registry,people,N Sibanda,edf62a25
info,registry,people,P Alako,fcf37e14
info,registry,people,R Musamali,017cadb2
info,registry,people,S Akiteng,cf92d76b
info,registry,people,S Nampiina,91d9aa26
info,registry,people,SA Fritz,d15e60c8
