version,2.3.0
info,balls_per_over,6
info,team,Kenya
info,team,Nigeria
info,team_type,international
info,gender,female
info,season,2025
info,date,2025/09/04
info,event,ICC Women's T20 World Cup Africa Region Division One Qualifier
info,match_id,1498720
info,match_type,T20
info,match_type_number,2477
info,overs,20
info,venue,"High Performance Oval, Windhoek"
info,city,Windhoek
info,toss_winner,Kenya
info,toss_decision,bat
info,player_of_match,MI Khagoitsa
info,umpire,Claus Schumacher
info,umpire,Patric Makumbi
info,reserve_umpire,S Dambanevana
info,match_referee,SA Fritz
info,target_overs,2,20
info,target_runs,2,106
info,winner,Kenya
info,winner_runs,7
info,player,Kenya,Q Abel
info,player,Kenya,M Mwangi
info,player,Kenya,M Ndhambi
info,player,Kenya,E Wachira
info,player,Kenya,MI Khagoitsa
info,player,Kenya,V Ooko
info,player,Kenya,J Abwom
info,player,Kenya,L Idambo
info,player,Kenya,JS Ndanu
info,player,Kenya,R Achando
info,player,Kenya,J Ajiambo
info,player,Nigeria,L Piety
info,player,Nigeria,MK Amusa
info,player,Nigeria,V Igbinedion
info,player,Nigeria,O Omonkhobio
info,player,Nigeria,S Sunday
info,player,Nigeria,C Chukwuonye
info,player,Nigeria,S Etim
info,player,Nigeria,P Agboya
info,player,Nigeria,OP Eguakun
info,player,Nigeria,L Udeh
info,player,Nigeria,U Peace
info,registry,people,C Chukwuonye,bb0aac11
info,registry,people,Claus Schumacher,85645e62
info,registry,people,E Wachira,f5e70dd4
info,registry,people,J Abwom,8d634767
info,registry,people,J Ajiambo,c3a998fa
info,registry,people,JS Ndanu,c27e0638
info,registry,people,L Idambo,27339093
info,registry,people,L Piety,46a29dd0
info,registry,people,L Udeh,8451562a
info,registry,people,M Mwangi,72de0105
info,registry,people,M Ndhambi,76e56ac6
info,registry,people,MI Khagoitsa,2d772f77
info,registry,people,MK Amusa,1eaf0ce1
info,registry,people,O Omonkhobio,4f3080c3
info,registry,people,OP Eguakun,728b71eb
info,registry,people,P Agboya,532ddb12
info,registry,people,Patric Makumbi,e4c69c16
info,registry,people,Q Abel,2e988457
info,registry,people,R Achando,88ea490f
info,registry,people,S Dambanevana,039923bd
info,registry,people,S Etim,aa197946
info,registry,people,S Sunday,594a0dec
info,registry,people,SA Fritz,d15e60c8
info,registry,people,U Peace,3798b336
info,registry,people,V Igbinedion,9525b9e5
info,registry,people,V Ooko,2ae76bf6
