version,2.3.0
info,balls_per_over,6
info,team,Philippines
info,team,Samoa
info,team_type,international
info,gender,female
info,season,2025
info,date,2025/09/09
info,event,ICC Women's T20 World Cup East Asia Pacific Qualifier
info,match_id,1499787
info,match_type,T20
info,match_type_number,2494
info,overs,20
info,match_number,4
info,venue,"Albert Park 2, Suva"
info,city,Suva
info,toss_winner,Samoa
info,toss_decision,field
info,player_of_match,T Iosefo
info,umpire,Adam Birss
info,umpire,M Kenni
info,reserve_umpire,Suresh Subramanian
info,match_referee,TL Anderson
info,target_overs,2,20
info,target_runs,2,43
info,winner,Samoa
info,winner_wickets,9
info,player,Philippines,ABY Smith
info,player,Philippines,JKD Andreano
info,player,Philippines,AR Valdez
info,player,Philippines,KK Donovan
info,player,Philippines,Karri Gullem Keen
info,player,Philippines,AS Miranda
info,player,Philippines,SF Sirah
info,player,Philippines,Angela Busa
info,player,Philippines,Kyte Gullem Keen
info,player,Philippines,R Castillo
info,player,Philippines,JR Medianesta
info,player,Samoa,F Sisifo
info,player,Samoa,A Sootaga
info,player,Samoa,RSM Lili'i
info,player,Samoa,T Iosefo
info,player,Samoa,C Agafili
info,player,Samoa,AF Mapu
info,player,Samoa,O Lefaga
info,player,Samoa,TH Semau
info,player,Samoa,Leitu Leong
info,player,Samoa,AF Aoina
info,player,Samoa,JT Manase
info,registry,people,A Sootaga,967984d0
info,registry,people,ABY Smith,fcb4448f
info,registry,people,AF Aoina,217f5194
info,registry,people,AF Mapu,d9238aee
info,registry,people,AR Valdez,3c3f34b0
info,registry,people,AS Miranda,283e47fa
info,registry,people,Adam Birss,0cabf6f4
info,registry,people,Angela Busa,cbef5af4
info,registry,people,C Agafili,b9bb76c8
info,registry,people,F Sisifo,eff8319a
info,registry,people,JKD Andreano,757baa30
info,registry,people,JR Medianesta,538cb58a
info,registry,people,JT Manase,524d2019
info,registry,people,KK Donovan,ef2a7af4
info,registry,people,Karri Gullem Keen,bb7b014a
info,registry,people,Kyte Gullem Keen,f3f654c2
info,registry,people,Leitu Leong,672e1aea
info,registry,people,M Kenni,1feb0d3c
info,registry,people,O Lefaga,540fb139
info,registry,people,R Castillo,716ba9ef
info,registry,people,RSM Lili'i,ba3a1359
info,registry,people,SF Sirah,48bd237f
info,registry,people,Suresh Subramanian,4e869e23
info,registry,people,T Iosefo,335b2768
info,registry,people,TH Semau,175d59dd
info,registry,people,TL Anderson,f52ddf8d
