version,2.3.0
info,balls_per_over,6
info,team,Samoa
info,team,Cook Islands
info,team_type,international
info,gender,female
info,season,2025
info,date,2025/09/13
info,event,ICC Women's T20 World Cup East Asia Pacific Qualifier
info,match_id,1499796
info,match_type,T20
info,match_type_number,2504
info,overs,20
info,venue,"Albert Park 1, Suva"
info,city,Suva
info,toss_winner,Samoa
info,toss_decision,bat
info,player_of_match,RSM Lili'i
info,umpire,C Black
info,umpire,M Kenni
info,reserve_umpire,Suresh Subramanian
info,match_referee,TL Anderson
info,target_overs,2,20
info,target_runs,2,175
info,winner,Samoa
info,winner_runs,62
info,player,Samoa,A Sootaga
info,player,Samoa,C Agafili
info,player,Samoa,RSM Lili'i
info,player,Samoa,F Sisifo
info,player,Samoa,T Iosefo
info,player,Samoa,AF Mapu
info,player,Samoa,AF Aoina
info,player,Samoa,O Lefaga
info,player,Samoa,Leitu Leong
info,player,Samoa,TH Semau
info,player,Samoa,NJM Salima
info,player,Cook Islands,GES Sullivan
info,player,Cook Islands,T Maika
info,player,Cook Islands,ZP Ikiua
info,player,Cook Islands,S Vaia
info,player,Cook Islands,ET Williams
info,player,Cook Islands,D Kataina
info,player,Cook Islands,TC Mataora
info,player,Cook Islands,RV Auora
info,player,Cook Islands,Lily Lamb
info,player,Cook Islands,R Bowers-Fleming
info,player,Cook Islands,A Vailoa
info,registry,people,A Sootaga,967984d0
info,registry,people,A Vailoa,65684b2b
info,registry,people,AF Aoina,217f5194
info,registry,people,AF Mapu,d9238aee
info,registry,people,C Agafili,b9bb76c8
info,registry,people,C Black,75b42f71
info,registry,people,D Kataina,3a370f15
info,registry,people,ET Williams,90410756
info,registry,people,F Sisifo,eff8319a
info,registry,people,GES Sullivan,165b9097
info,registry,people,Leitu Leong,672e1aea
info,registry,people,Lily Lamb,69fc75bb
info,registry,people,M Kenni,1feb0d3c
info,registry,people,NJM Salima,13cc5f9d
info,registry,people,O Lefaga,540fb139
info,registry,people,R Bowers-Fleming,0eb829be
info,registry,people,RSM Lili'i,ba3a1359
info,registry,people,RV Auora,672cee0a
info,registry,people,S Vaia,78103121
info,registry,people,Suresh Subramanian,4e869e23
info,registry,people,T Iosefo,335b2768
info,registry,people,T Maika,9782087e
info,registry,people,TC Mataora,6059bb14
info,registry,people,TH Semau,175d59dd
info,registry,people,TL Anderson,f52ddf8d
info,registry,people,ZP Ikiua,3bd86723
