version,2.3.0
info,balls_per_over,6
info,team,Isle of Man
info,team,Brazil
info,team_type,international
info,gender,female
info,season,2025
info,date,2025/08/31
info,event,Women's ICC T20 Tri-Series
info,match_id,1500635
info,match_type,T20
info,match_type_number,2465
info,overs,20
info,match_number,1
info,venue,"New Farnley CC, Leeds"
info,city,Leeds
info,toss_winner,Brazil
info,toss_decision,field
info,target_overs,2,20
info,target_runs,2,38
info,winner,Brazil
info,winner_wickets,10
info,player,Isle of Man,C Crowe
info,player,Isle of Man,R Overman
info,player,Isle of Man,C Henery
info,player,Isle of Man,L Moore
info,player,Isle of Man,J Pullen
info,player,Isle of Man,C Perry
info,player,Isle of Man,A Thorpe
info,player,Isle of Man,G Ford
info,player,Isle of Man,J Hicks
info,player,Isle of Man,L Hornby-Wheeler
info,player,Isle of Man,R Stones
info,player,Brazil,LV Boas
info,player,Brazil,L Cardoso
info,player,Brazil,NC Monteiro
info,player,Brazil,L Agatha
info,player,Brazil,M Ribeiro
info,player,Brazil,MB dos Santos
info,player,Brazil,EC Muller
info,player,Brazil,MLG Silva
info,player,Brazil,M Artur
info,player,Brazil,CS Nascimento
info,player,Brazil,RMAM Avery
info,registry,people,A Thorpe,6c54bd7a
info,registry,people,C Crowe,9b671b41
info,registry,people,C Henery,03d9e80f
info,registry,people,C Perry,152d3c9d
info,registry,people,CS Nascimento,df997334
info,registry,people,EC Muller,e1461e39
info,registry,people,G Ford,c569a574
info,registry,people,J Hicks,802febe2
info,registry,people,J Pullen,b3b97956
info,registry,people,L Agatha,1aebb2fa
info,registry,people,L Cardoso,5777d460
info,registry,people,L Hornby-Wheeler,a5ce3e4d
info,registry,people,L Moore,da50a075
info,registry,people,LV Boas,3a00d34f
info,registry,people,M Artur,400b36cd
info,registry,people,M Ribeiro,38424a4d
info,registry,people,MB dos Santos,8ba8dd7a
info,registry,people,MLG Silva,3b62a6b4
info,registry,people,NC Monteiro,752af5a4
info,registry,people,R Overman,2ec52460
info,registry,people,R Stones,45474493
info,registry,people,RMAM Avery,4cf645c9
