version,2.3.0
info,balls_per_over,6
info,team,Zimbabwe
info,team,Namibia
info,team_type,international
info,gender,male
info,season,2025/26
info,date,2025/09/15
info,event,Namibia tour of Zimbabwe
info,match_id,1502164
info,match_type,T20
info,match_type_number,3456
info,overs,20
info,match_number,1
info,venue,"Queens Sports Club, Bulawayo"
info,city,Bulawayo
info,toss_winner,Namibia
info,toss_decision,field
info,player_of_match,BJ Bennett
info,umpire,F Mutizwa
info,umpire,I Chabi
info,tv_umpire,L Rusere
info,match_referee,ET Dube
info,target_overs,2,20
info,target_runs,2,212
info,winner,Zimbabwe
info,winner_runs,33
info,player,Zimbabwe,BJ Bennett
info,player,Zimbabwe,T Marumani
info,player,Zimbabwe,RP Burl
info,player,Zimbabwe,Sikandar Raza
info,player,Zimbabwe,T Musekiwa
info,player,Zimbabwe,BRM Taylor
info,player,Zimbabwe,D Myers
info,player,Zimbabwe,WP Masakadza
info,player,Zimbabwe,B Evans
info,player,Zimbabwe,R Ngarava
info,player,Zimbabwe,B Muzarabani
info,player,Namibia,MB Kruger
info,player,Namibia,JN Frylinck
info,player,Namibia,JN Loftie-Eaton
info,player,Namibia,MG Erasmus
info,player,Namibia,ZE Green
info,player,Namibia,JJ Smit
info,player,Namibia,R Trumpelmann
info,player,Namibia,DO Leicher
info,player,Namibia,A Busing-Volschenk
info,player,Namibia,BM Scholtz
info,player,Namibia,JT Brassell
info,registry,people,A Busing-Volschenk,e9e37173
info,registry,people,B Evans,e7e86505
info,registry,people,B Muzarabani,449f4e3c
info,registry,people,BJ Bennett,eaa36b2a
info,registry,people,BM Scholtz,e85d03d6
info,registry,people,BRM Taylor,53597be1
info,registry,people,D Myers,d96165b5
info,registry,people,DO Leicher,e28bb0b9
info,registry,people,ET Dube,4c0891bc
info,registry,people,F Mutizwa,d3e83eef
info,registry,people,I Chabi,5e39110e
info,registry,people,JJ Smit,bb134e5c
info,registry,people,JN Frylinck,3c87f0c3
info,registry,people,JN Loftie-Eaton,f468293b
info,registry,people,JT Brassell,537021f5
info,registry,people,L Rusere,6a4734ae
info,registry,people,MB Kruger,c51add25
info,registry,people,MG Erasmus,95a5e066
info,registry,people,R Ngarava,6e3f5a5c
info,registry,people,R Trumpelmann,ff6a7ab5
info,registry,people,RP Burl,b08252b8
info,registry,people,Sikandar Raza,26d041c4
info,registry,people,T Marumani,3d5d51a5
info,registry,people,T Musekiwa,06fc82b8
info,registry,people,WP Masakadza,4bc0a378
info,registry,people,ZE Green,8716233e
