version,2.3.0
info,balls_per_over,6
info,team,Malawi
info,team,Namibia
info,team_type,international
info,gender,male
info,season,2025/26
info,date,2025/09/30
info,event,ICC Men's T20 World Cup Africa Region Final
info,match_id,1502753
info,match_type,T20
info,match_type_number,3488
info,overs,20
info,match_number,11
info,venue,Harare Sports Club
info,city,Harare
info,toss_winner,Malawi
info,toss_decision,bat
info,umpire,D Odhiambo
info,umpire,Stephen Harris
info,reserve_umpire,Claus Schumacher
info,match_referee,GH Pienaar
info,target_overs,2,20
info,target_runs,2,72
info,winner,Namibia
info,winner_wickets,8
info,player,Malawi,A Limdawala
info,player,Malawi,Sami Sohail
info,player,Malawi,G Kansonkho
info,player,Malawi,SY Nihute
info,player,Malawi,MA Baig
info,player,Malawi,Kazim Somani
info,player,Malawi,SZ Vayani
info,player,Malawi,M Choamba
info,player,Malawi,D Jakiel
info,player,Malawi,B Balala
info,player,Malawi,K Thuchila
info,player,Namibia,MB Kruger
info,player,Namibia,JN Frylinck
info,player,Namibia,L Steenkamp
info,player,Namibia,JN Loftie-Eaton
info,player,Namibia,MG Erasmus
info,player,Namibia,JJ Smit
info,player,Namibia,R Trumpelmann
info,player,Namibia,ZE Green
info,player,Namibia,JI de Villiers
info,player,Namibia,JT Brassell
info,player,Namibia,B Shikongo
info,registry,people,A Limdawala,2bcbcac3
info,registry,people,B Balala,a2f8e873
info,registry,people,B Shikongo,c26cd57a
info,registry,people,Claus Schumacher,85645e62
info,registry,people,D Jakiel,8b7ce771
info,registry,people,D Odhiambo,45994517
info,registry,people,G Kansonkho,f3ca5af8
info,registry,people,GH Pienaar,3516e46b
info,registry,people,JI de Villiers,3847ec84
info,registry,people,JJ Smit,bb134e5c
info,registry,people,JN Frylinck,3c87f0c3
info,registry,people,JN Loftie-Eaton,f468293b
info,registry,people,JT Brassell,537021f5
info,registry,people,K Thuchila,af42d9f2
info,registry,people,Kazim Somani,d2ebebbe
info,registry,people,L Steenkamp,8bd9fd13
info,registry,people,M Choamba,5570c4c1
info,registry,people,MA Baig,89394502
info,registry,people,MB Kruger,c51add25
info,registry,people,MG Erasmus,95a5e066
info,registry,people,R Trumpelmann,ff6a7ab5
info,registry,people,SY Nihute,56b41ed3
info,registry,people,SZ Vayani,a4afc486
info,registry,people,Sami Sohail,602ebd4c
info,registry,people,Stephen Harris,fdcfd4aa
info,registry,people,ZE Green,8716233e
