version,2.3.0
info,balls_per_over,6
info,team,Nepal
info,team,United Arab Emirates
info,team_type,international
info,gender,male
info,season,2025/26
info,date,2025/10/12
info,event,ICC Men's T20 World Cup Asia & EAP Qualifier
info,match_id,1503460
info,match_type,T20
info,match_type_number,3516
info,overs,20
info,match_number,11
info,venue,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)
info,city,Al Amarat
info,toss_winner,Nepal
info,toss_decision,bat
info,player_of_match,DS Airee
info,umpire,Masudur Rahman
info,umpire,Rashid Riaz
info,reserve_umpire,Rahul Asher
info,match_referee,Kent Hannam
info,target_overs,2,20
info,target_runs,2,141
info,winner,Nepal
info,winner_runs,1
info,player,Nepal,K Bhurtel
info,player,Nepal,Aasif Sheikh
info,player,Nepal,RK Paudel
info,player,Nepal,Kushal Malla
info,player,Nepal,DS Airee
info,player,Nepal,Gulsan Jha
info,player,Nepal,S Jora
info,player,Nepal,Sompal Kami
info,player,Nepal,S Lamichhane
info,player,Nepal,LN Rajbanshi
info,player,Nepal,NK Yadav
info,player,United Arab Emirates,J Figy John
info,player,United Arab Emirates,Waseem Muhammad
info,player,United Arab Emirates,A Sharafu
info,player,United Arab Emirates,R Chopra
info,player,United Arab Emirates,H Kaushik
info,player,United Arab Emirates,D Parashar
info,player,United Arab Emirates,Basil Hameed
info,player,United Arab Emirates,Zahid Ali
info,player,United Arab Emirates,Haider Ali
info,player,United Arab Emirates,Junaid Siddique
info,player,United Arab Emirates,Muhammad Rohid
info,registry,people,A Sharafu,06cad4f0
info,registry,people,Aasif Sheikh,dcbea954
info,registry,people,Basil Hameed,adbf0400
info,registry,people,D Parashar,395179e8
info,registry,people,DS Airee,1747ea18
info,registry,people,Gulsan Jha,9811e35e
info,registry,people,H Kaushik,2bfec670
info,registry,people,Haider Ali,dd572696
info,registry,people,J Figy John,9f038761
info,registry,people,Junaid Siddique,84dc72db
info,registry,people,K Bhurtel,e3386c8a
info,registry,people,Kent Hannam,8cc171e7
info,registry,people,Kushal Malla,7e9f1cde
info,registry,people,LN Rajbanshi,6ad2d5f7
info,registry,people,Masudur Rahman,9581ac6b
info,registry,people,Muhammad Farooq,8f3c6b8a
info,registry,people,Muhammad Rohid,9103ecdb
info,registry,people,NK Yadav,737e595d
info,registry,people,R Chopra,a71d0f89
info,registry,people,RK Paudel,1a3cc554
info,registry,people,Rahul Asher,4956b0bf
info,registry,people,Rashid Riaz,fb82725e
info,registry,people,S Jora,156378d8
info,registry,people,S Lamichhane,b410bd3d
info,registry,people,Sompal Kami,1adb8ee8
info,registry,people,Waseem Muhammad,6f02fe2a
info,registry,people,Zahid Ali,0d15a8c9
