version,2.3.0
info,balls_per_over,6
info,team,Austria
info,team,Norway
info,team_type,international
info,gender,female
info,season,2025/26
info,date,2025/10/12
info,event,Women's Continental Cup
info,match_id,1506189
info,match_type,T20
info,match_type_number,2539
info,overs,20
info,match_number,9
info,venue,"Moara Vlasiei Cricket Ground, Ilfov County"
info,city,Ilfov County
info,toss_winner,Austria
info,toss_decision,bat
info,player_of_match,VB Viyala
info,target_overs,2,20
info,target_runs,2,92
info,winner,Norway
info,winner_wickets,1
info,player,Austria,P Sabu
info,player,Austria,H Bhullar
info,player,Austria,AM Zepeda
info,player,Austria,S Bhardwaj
info,player,Austria,SM Ariyasinghage
info,player,Austria,A Nookala
info,player,Austria,Hadia Siddiqui
info,player,Austria,MPM Pathirannehelage
info,player,Austria,P Ganeshan
info,player,Austria,Ashi Chopla
info,player,Austria,A Saifee
info,player,Norway,AS Gorad
info,player,Norway,Mirab Sajjad
info,player,Norway,Ayesha Hasan
info,player,Norway,R Immadi
info,player,Norway,Bijeyata Kumari
info,player,Norway,Alina Aslam
info,player,Norway,Nayab Razwan
info,player,Norway,Mirab Razwan
info,player,Norway,VB Viyala
info,player,Norway,P Agrawal
info,player,Norway,Prachi Kumari
info,registry,people,A Nookala,57922f7c
info,registry,people,A Saifee,7efe9059
info,registry,people,AM Zepeda,c9f95a16
info,registry,people,AS Gorad,2c8d0953
info,registry,people,Alina Aslam,fbffb752
info,registry,people,Ashi Chopla,89d6902b
info,registry,people,Ayesha Hasan,6a3de477
info,registry,people,Bijeyata Kumari,a5fc18a7
info,registry,people,H Bhullar,c9ffb93d
info,registry,people,Hadia Siddiqui,14bc5d2d
info,registry,people,MPM Pathirannehelage,0c142594
info,registry,people,Mirab Razwan,498031f9
info,registry,people,Mirab Sajjad,41db4d1f
info,registry,people,Nayab Razwan,f12e21a0
info,registry,people,P Agrawal,bb1fcd51
info,registry,people,P Ganeshan,3829c5ea
info,registry,people,P Sabu,a38da707
info,registry,people,Prachi Kumari,dc4f97bf
info,registry,people,R Immadi,baeae6dd
info,registry,people,S Bhardwaj,83e9173e
info,registry,people,SM Ariyasinghage,64ddc3e7
info,registry,people,VB Viyala,228a747d
