version,2.3.0
info,balls_per_over,6
info,team,Canada
info,team,Tanzania
info,team_type,international
info,gender,female
info,season,2025/26
info,date,2025/11/04
info,event,Canada Women tour of Tanzania
info,match_id,1506669
info,match_type,T20
info,match_type_number,2546
info,overs,20
info,match_number,1
info,venue,University of Dar-es-Salaam Ground
info,city,Dar-es-Salaam
info,toss_winner,Tanzania
info,toss_decision,field
info,outcome,no result
info,player,Canada,A Perera
info,player,Canada,I Goordial-John
info,player,Canada,Kainat Qazi
info,player,Canada,Amarpal Kaur
info,player,Canada,V Mahajan
info,player,Canada,Habeeba Bader
info,player,Canada,TA Lavia
info,player,Canada,Rabbjyot Rajput
info,player,Canada,Zeel Patel
info,player,Canada,T Thorpe
info,player,Canada,Srishti Raha
info,player,Tanzania,S Mtae
info,player,Tanzania,FO Kibasu
info,player,Tanzania,S Kizito
info,player,Tanzania,NJ Pius
info,player,Tanzania,MH Ushanga
info,player,Tanzania,SF Jerome
info,player,Tanzania,Nasra Mohamedi
info,player,Tanzania,SH Mohamedi
info,player,Tanzania,JG Kimaro
info,player,Tanzania,PZ Kamunya
info,player,Tanzania,NN Saidi
info,registry,people,A Perera,788afc32
info,registry,people,Amarpal Kaur,3051fcc6
info,registry,people,FO Kibasu,1c726c76
info,registry,people,Habeeba Bader,18d53879
info,registry,people,I Goordial-John,6e2ec862
info,registry,people,JG Kimaro,3f0be08f
info,registry,people,Kainat Qazi,1ccd4054
info,registry,people,MH Ushanga,0286eabe
info,registry,people,NJ Pius,f4270fc7
info,registry,people,NN Saidi,16610c7b
info,registry,people,Nasra Mohamedi,754c719b
info,registry,people,PZ Kamunya,6e60bbe2
info,registry,people,Rabbjyot Rajput,8b1f5f91
info,registry,people,S Kizito,d91a936b
info,registry,people,S Mtae,bb641155
info,registry,people,SF Jerome,e393c6c1
info,registry,people,SH Mohamedi,10ab6a37
info,registry,people,Srishti Raha,b325acfa
info,registry,people,T Thorpe,9e547805
info,registry,people,TA Lavia,361b378b
info,registry,people,V Mahajan,8c42d7d8
info,registry,people,Zeel Patel,c6635f86
