version,2.3.0
info,balls_per_over,6
info,team,Myanmar
info,team,Indonesia
info,team_type,international
info,gender,male
info,season,2025/26
info,date,2025/11/06
info,event,Indonesia Tri-Nation T20I Series
info,match_id,1508269
info,match_type,T20
info,match_type_number,3558
info,overs,20
info,match_number,1
info,venue,Udayana Cricket Ground
info,city,Bali
info,toss_winner,Myanmar
info,toss_decision,bat
info,player_of_match,GA Priandana
info,umpire,Febri Irwanto
info,umpire,IKAW Kusuma
info,match_referee,S Hawoe
info,target_overs,2,10
info,target_runs,2,53
info,winner,Indonesia
info,winner_wickets,9
info,player,Myanmar,Pyae Phyo Wai
info,player,Myanmar,H Lin Aung
info,player,Myanmar,Thuya Aung
info,player,Myanmar,Nay Lin Htun
info,player,Myanmar,KK Lin Thu
info,player,Myanmar,Swann Htet Ko Ko
info,player,Myanmar,Khin Aye
info,player,Myanmar,H Lin Oo
info,player,Myanmar,Sai Hla Htwe
info,player,Myanmar,Myat Thu Aung
info,player,Myanmar,Nyeing Cham Soe
info,player,Indonesia,GA Priandana
info,player,Indonesia,KD Kesuma
info,player,Indonesia,S Jegannathan
info,player,Indonesia,F Banunaek
info,player,Indonesia,Ahmad Ramdoni
info,player,Indonesia,A Alexander
info,player,Indonesia,DJ Hawoe
info,player,Indonesia,IKEG Artawan
info,player,Indonesia,GD Arta
info,player,Indonesia,S Kharvi
info,player,Indonesia,RM Koda
info,registry,people,A Alexander,ef6d6883
info,registry,people,Ahmad Ramdoni,b5f30525
info,registry,people,DJ Hawoe,a62f55ba
info,registry,people,F Banunaek,3c8faed4
info,registry,people,Febri Irwanto,762ac6fc
info,registry,people,GA Priandana,2af0e3b1
info,registry,people,GD Arta,e969e580
info,registry,people,H Lin Aung,c343a8c6
info,registry,people,H Lin Oo,2e005bfd
info,registry,people,IKAW Kusuma,7ae108a8
info,registry,people,IKEG Artawan,190957d2
info,registry,people,KD Kesuma,4b349dc0
info,registry,people,KK Lin Thu,6cf75582
info,registry,people,Khin Aye,ad2efd29
info,registry,people,Myat Thu Aung,cebbf3c9
info,registry,people,Nay Lin Htun,5319f95b
info,registry,people,Nyeing Cham Soe,45b5ce8d
info,registry,people,Pyae Phyo Wai,09e86895
info,registry,people,RM Koda,f0a45427
info,registry,people,S Hawoe,e773dfe5
info,registry,people,S Jegannathan,866e9f3d
info,registry,people,S Kharvi,41a61623
info,registry,people,Sai Hla Htwe,740d29d5
info,registry,people,Swann Htet Ko Ko,9ee21ee4
info,registry,people,Thuya Aung,2e092d2c
