version,2.3.0
info,balls_per_over,6
info,team,Tanzania
info,team,United Arab Emirates
info,team_type,international
info,gender,female
info,season,2025/26
info,date,2025/11/26
info,event,ICC Women's Emerging Nations Trophy
info,match_id,1510301
info,match_type,T20
info,match_type_number,2572
info,overs,20
info,match_number,17
info,venue,"Terdthai Cricket Ground, Bangkok"
info,city,Bangkok
info,toss_winner,Tanzania
info,toss_decision,bat
info,player_of_match,Vaishnave Mahesh
info,umpire,Champa Chakma
info,umpire,Saleema Imtiaz
info,reserve_umpire,AS Guha
info,match_referee,SM Bartlett
info,target_overs,2,20
info,target_runs,2,47
info,winner,United Arab Emirates
info,winner_wickets,7
info,player,Tanzania,FO Kibasu
info,player,Tanzania,S Mtae
info,player,Tanzania,NJ Pius
info,player,Tanzania,HM Omary
info,player,Tanzania,NN Saidi
info,player,Tanzania,JG Kimaro
info,player,Tanzania,PZ Kamunya
info,player,Tanzania,SD Hussein
info,player,Tanzania,SF Jerome
info,player,Tanzania,MH Ushanga
info,player,Tanzania,S Kizito
info,player,United Arab Emirates,ER Oza
info,player,United Arab Emirates,Theertha Satish
info,player,United Arab Emirates,Rinitha Rajith
info,player,United Arab Emirates,Al Maseera Jahangir
info,player,United Arab Emirates,H Hotchandani
info,player,United Arab Emirates,MD Botha
info,player,United Arab Emirates,S Dharnidharka
info,player,United Arab Emirates,ATS Silva
info,player,United Arab Emirates,S Kotte
info,player,United Arab Emirates,UCKA Dona
info,player,United Arab Emirates,Vaishnave Mahesh
info,registry,people,AS Guha,c21b184d
info,registry,people,ATS Silva,9ca533cc
info,registry,people,Al Maseera Jahangir,be47cb63
info,registry,people,Champa Chakma,4fc732f7
info,registry,people,ER Oza,fdc6b34d
info,registry,people,FO Kibasu,1c726c76
info,registry,people,H Hotchandani,f537d39c
info,registry,people,HM Omary,2cbe5db1
info,registry,people,JG Kimaro,3f0be08f
info,registry,people,MD Botha,c2c7e58a
info,registry,people,MH Ushanga,0286eabe
info,registry,people,NJ Pius,f4270fc7
info,registry,people,NN Saidi,16610c7b
info,registry,people,PZ Kamunya,6e60bbe2
info,registry,people,Rinitha Rajith,36ba7f0b
info,registry,people,S Dharnidharka,f8b50da3
info,registry,people,S Kizito,d91a936b
info,registry,people,S Kotte,6c8904c8
info,registry,people,S Mtae,bb641155
info,registry,people,SD Hussein,5f36cd39
info,registry,people,SF Jerome,e393c6c1
info,registry,people,SM Bartlett,7ba18406
info,registry,people,Saleema Imtiaz,d17d21d5
info,registry,people,Theertha Satish,ee3dcb3f
info,registry,people,UCKA Dona,caa99fcb
info,registry,people,Vaishnave Mahesh,31c56f40
