version,2.3.0
info,balls_per_over,6
info,team,Uganda
info,team,Netherlands
info,team_type,international
info,gender,female
info,season,2025/26
info,date,2025/11/30
info,event,ICC Women's Emerging Nations Trophy
info,match_id,1510309
info,match_type,T20
info,match_type_number,2582
info,overs,20
info,match_number,25
info,venue,"Terdthai Cricket Ground, Bangkok"
info,city,Bangkok
info,toss_winner,Netherlands
info,toss_decision,field
info,player_of_match,R Rijke
info,umpire,LDVV Silva
info,umpire,Rokeya Sultana
info,reserve_umpire,Champa Chakma
info,match_referee,SM Bartlett
info,target_overs,2,20
info,target_runs,2,112
info,winner,Netherlands
info,winner_wickets,6
info,player,Uganda,J Mbabazi
info,player,Uganda,E Iloku
info,player,Uganda,I Nakisuuyi
info,player,Uganda,R Musamali
info,player,Uganda,S Nampiina
info,player,Uganda,P Alako
info,player,Uganda,M Ariokot
info,player,Uganda,K Awino
info,player,Uganda,C Aweko
info,player,Uganda,K Amuge
info,player,Uganda,S Akiteng
info,player,Netherlands,IJR Zwilling
info,player,Netherlands,P Molkenboer
info,player,Netherlands,B de Leede
info,player,Netherlands,SL Kalis
info,player,Netherlands,R Rijke
info,player,Netherlands,F Overdijk
info,player,Netherlands,S Khurana
info,player,Netherlands,MM Dekeling
info,player,Netherlands,C de Lange
info,player,Netherlands,I van der Woning
info,player,Netherlands,S Siegers
info,registry,people,B de Leede,b3020075
info,registry,people,C Aweko,01c1b96c
info,registry,people,C de Lange,c6a019f5
info,registry,people,Champa Chakma,4fc732f7
info,registry,people,E Iloku,f1fa1c6b
info,registry,people,F Overdijk,022745d5
info,registry,people,I Nakisuuyi,2f145a4f
info,registry,people,I van der Woning,5aa8574b
info,registry,people,IJR Zwilling,47b32a5a
info,registry,people,J Mbabazi,aaa6e84c
info,registry,people,K Amuge,eb2de8d9
info,registry,people,K Awino,c4e7749a
info,registry,people,LDVV Silva,6e226c31
info,registry,people,M Ariokot,c328bc6c
info,registry,people,MM Dekeling,983a0c34
info,registry,people,P Alako,fcf37e14
info,registry,people,P Molkenboer,fa9db243
info,registry,people,R Musamali,017cadb2
info,registry,people,R Rijke,42e4b276
info,registry,people,Rokeya Sultana,20abf9b9
info,registry,people,S Akiteng,cf92d76b
info,registry,people,S Khurana,9a9a056d
info,registry,people,S Nampiina,91d9aa26
info,registry,people,S Siegers,9a58f2c8
info,registry,people,SL Kalis,2b150c6b
info,registry,people,SM Bartlett,7ba18406
