version,2.3.0
info,balls_per_over,6
info,team,West Indies
info,team,Scotland
info,team_type,international
info,gender,male
info,season,2025/26
info,date,2026/02/07
info,event,ICC Men's T20 World Cup
info,match_id,1512720
info,match_type,T20
info,match_type_number,3685
info,overs,20
info,match_number,2
info,venue,"Eden Gardens, Kolkata"
info,city,Kolkata
info,toss_winner,Scotland
info,toss_decision,field
info,player_of_match,SO Hetmyer
info,umpire,Nitin Menon
info,umpire,SJ Nogajski
info,reserve_umpire,KN Ananthapadmanabhan
info,tv_umpire,J Madanagopal
info,match_referee,J Srinath
info,target_overs,2,20
info,target_runs,2,183
info,winner,West Indies
info,winner_runs,35
info,player,West Indies,BA King
info,player,West Indies,SD Hope
info,player,West Indies,SO Hetmyer
info,player,West Indies,R Powell
info,player,West Indies,SE Rutherford
info,player,West Indies,R Shepherd
info,player,West Indies,MW Forde
info,player,West Indies,JO Holder
info,player,West Indies,AJ Hosein
info,player,West Indies,S Joseph
info,player,West Indies,G Motie
info,player,Scotland,HG Munsey
info,player,Scotland,MA Jones
info,player,Scotland,BJ McMullen
info,player,Scotland,RD Berrington
info,player,Scotland,TC Bruce
info,player,Scotland,MH Cross
info,player,Scotland,MRJ Watt
info,player,Scotland,MA Leask
info,player,Scotland,O Davidson
info,player,Scotland,SM Sharif
info,player,Scotland,BJ Currie
info,registry,people,AJ Hosein,4d7f517e
info,registry,people,BA King,7fca84b7
info,registry,people,BJ Currie,2ecd844a
info,registry,people,BJ McMullen,436c763a
info,registry,people,G Motie,97bdec3d
info,registry,people,HG Munsey,ff014c34
info,registry,people,J Madanagopal,8275b04a
info,registry,people,J Srinath,bad31fac
info,registry,people,JO Holder,0f721006
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,MA Jones,05f96194
info,registry,people,MA Leask,28131839
info,registry,people,MH Cross,8b261d84
info,registry,people,MRJ Watt,1252f71a
info,registry,people,MW Forde,83d17bbc
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,O Davidson,63249474
info,registry,people,R Powell,650d5e49
info,registry,people,R Shepherd,c5aef772
info,registry,people,RD Berrington,e21bc7f3
info,registry,people,S Joseph,97290faf
info,registry,people,SD Hope,1fc6ef83
info,registry,people,SE Rutherford,d014d5ac
info,registry,people,SJ Nogajski,9b3f9323
info,registry,people,SM Sharif,f43dd8c2
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,TC Bruce,f92c9151
