version,2.3.0
info,balls_per_over,6
info,team,South Africa
info,team,Canada
info,team_type,international
info,gender,male
info,season,2025/26
info,date,2026/02/09
info,event,ICC Men's T20 World Cup
info,match_id,1512727
info,match_type,T20
info,match_type_number,3692
info,overs,20
info,match_number,9
info,venue,"Narendra Modi Stadium, Ahmedabad"
info,city,Ahmedabad
info,toss_winner,Canada
info,toss_decision,field
info,player_of_match,L Ngidi
info,umpire,J Madanagopal
info,umpire,Nitin Menon
info,reserve_umpire,KN Ananthapadmanabhan
info,tv_umpire,Sharfuddoula
info,match_referee,Dave Gilbert
info,target_overs,2,20
info,target_runs,2,214
info,winner,South Africa
info,winner_runs,57
info,player,South Africa,AK Markram
info,player,South Africa,Q de Kock
info,player,South Africa,RD Rickelton
info,player,South Africa,D Brevis
info,player,South Africa,DA Miller
info,player,South Africa,T Stubbs
info,player,South Africa,M Jansen
info,player,South Africa,C Bosch
info,player,South Africa,K Rabada
info,player,South Africa,KA Maharaj
info,player,South Africa,L Ngidi
info,player,Canada,DS Bajwa
info,player,Canada,YS Samra
info,player,Canada,NS Dhaliwal
info,player,Canada,NR Kirton
info,player,Canada,S Movva
info,player,Canada,H Thaker
info,player,Canada,Saad Bin Zafar
info,player,Canada,Jaskaran Singh
info,player,Canada,D Heyliger
info,player,Canada,Kaleem Sana
info,player,Canada,Ansh Patel
info,registry,people,AK Markram,6a26221c
info,registry,people,Ansh Patel,9e76cdb3
info,registry,people,C Bosch,172dff15
info,registry,people,D Brevis,844e79d1
info,registry,people,D Heyliger,f8c72766
info,registry,people,DA Miller,d67d5f00
info,registry,people,DS Bajwa,e3540b8c
info,registry,people,Dave Gilbert,aa782370
info,registry,people,H Thaker,c01d7726
info,registry,people,J Madanagopal,8275b04a
info,registry,people,Jaskaran Singh,d7b3a420
info,registry,people,K Rabada,e62dd25d
info,registry,people,KA Maharaj,0b60eb09
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,Kaleem Sana,14810ee7
info,registry,people,L Ngidi,f834dcfc
info,registry,people,M Jansen,81c36ee9
info,registry,people,NR Kirton,6b75c2b1
info,registry,people,NS Dhaliwal,cbabd6ad
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,Q de Kock,372455c4
info,registry,people,RD Rickelton,e66732f8
info,registry,people,S Movva,ee229588
info,registry,people,Saad Bin Zafar,f28a60e0
info,registry,people,Sharfuddoula,63896abb
info,registry,people,T Stubbs,85b3fab2
info,registry,people,YS Samra,d02c40ab
