version,2.3.0
info,balls_per_over,6
info,team,Australia
info,team,Sri Lanka
info,team_type,international
info,gender,male
info,season,2025/26
info,date,2026/02/16
info,event,ICC Men's T20 World Cup
info,match_id,1512748
info,match_type,T20
info,match_type_number,3718
info,overs,20
info,match_number,30
info,venue,Pallekele International Cricket Stadium
info,city,Kandy
info,toss_winner,Sri Lanka
info,toss_decision,field
info,player_of_match,P Nissanka
info,umpire,Ahsan Raza
info,umpire,RA Kettleborough
info,reserve_umpire,WR Knights
info,tv_umpire,Asif Yaqoob
info,match_referee,DA Cosker
info,target_overs,2,20
info,target_runs,2,182
info,winner,Sri Lanka
info,winner_wickets,8
info,player,Australia,MR Marsh
info,player,Australia,TM Head
info,player,Australia,C Green
info,player,Australia,TH David
info,player,Australia,JP Inglis
info,player,Australia,GJ Maxwell
info,player,Australia,MP Stoinis
info,player,Australia,C Connolly
info,player,Australia,XC Bartlett
info,player,Australia,NT Ellis
info,player,Australia,A Zampa
info,player,Sri Lanka,P Nissanka
info,player,Sri Lanka,MDKJ Perera
info,player,Sri Lanka,BKG Mendis
info,player,Sri Lanka,P Rathnayake
info,player,Sri Lanka,MD Shanaka
info,player,Sri Lanka,PHKD Mendis
info,player,Sri Lanka,DN Wellalage
info,player,Sri Lanka,MADI Hemantha
info,player,Sri Lanka,PVD Chameera
info,player,Sri Lanka,M Theekshana
info,player,Sri Lanka,M Pathirana
info,registry,people,A Zampa,14f96089
info,registry,people,Ahsan Raza,e0e5b209
info,registry,people,Asif Yaqoob,6b35790c
info,registry,people,BKG Mendis,5d1e7582
info,registry,people,C Connolly,fe366f34
info,registry,people,C Green,eaa76d3c
info,registry,people,DA Cosker,aac9f784
info,registry,people,DN Wellalage,736123bb
info,registry,people,GJ Maxwell,b681e71e
info,registry,people,JP Inglis,989889ff
info,registry,people,M Pathirana,64839cb3
info,registry,people,M Theekshana,f24c6701
info,registry,people,MADI Hemantha,58431ca0
info,registry,people,MD Shanaka,3ff033bb
info,registry,people,MDKJ Perera,f21043a5
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,MR Marsh,3d8feaf8
info,registry,people,NT Ellis,9eb1455b
info,registry,people,P Nissanka,8ee36b18
info,registry,people,P Rathnayake,c1fdfb46
info,registry,people,PHKD Mendis,08548b13
info,registry,people,PVD Chameera,327b58d3
info,registry,people,RA Kettleborough,4017868f
info,registry,people,TH David,f1f99156
info,registry,people,TM Head,12b610c2
info,registry,people,WR Knights,63cbf8d8
info,registry,people,XC Bartlett,3b53243a
