version,2.3.0
info,balls_per_over,6
info,team,Myanmar
info,team,Indonesia
info,team_type,international
info,gender,female
info,season,2025/26
info,date,2025/12/19
info,event,SEA Games Women's Twenty20 Cricket Competition
info,match_id,1513763
info,match_type,T20
info,match_type_number,2616
info,overs,20
info,venue,"Terdthai Cricket Ground, Bangkok"
info,city,Bangkok
info,toss_winner,Indonesia
info,toss_decision,field
info,umpire,AK Rana
info,umpire,L Poobalan
info,reserve_umpire,Peerawat Duangtip
info,tv_umpire,D Sevakumaran
info,match_referee,Sarika Prasad
info,target_overs,2,20
info,target_runs,2,62
info,winner,Indonesia
info,winner_wickets,5
info,player,Myanmar,TT Soe
info,player,Myanmar,ZL Win
info,player,Myanmar,Zon Lin
info,player,Myanmar,MPP San
info,player,Myanmar,TT Aung
info,player,Myanmar,LL Htun
info,player,Myanmar,Thae Thae Po
info,player,Myanmar,HH Aung
info,player,Myanmar,Moe Ei Phyu
info,player,Myanmar,SY Win
info,player,Myanmar,Pan Ei Phyu
info,player,Indonesia,M Corazon
info,player,Indonesia,RD Pangestuti
info,player,Indonesia,NPAN Sakarini
info,player,Indonesia,NLKWR Dewi
info,player,Indonesia,Emily Sirs
info,player,Indonesia,D Wulandari
info,player,Indonesia,FL Albanjari
info,player,Indonesia,DAL Paramitha
info,player,Indonesia,NK Ariani
info,player,Indonesia,NW Sariani
info,player,Indonesia,SAN Maypriani
info,registry,people,AK Rana,562d74d0
info,registry,people,D Sevakumaran,b235cb97
info,registry,people,D Wulandari,8c0d904e
info,registry,people,DAL Paramitha,84f831c3
info,registry,people,Emily Sirs,aa88b08b
info,registry,people,FL Albanjari,ecb7a421
info,registry,people,HH Aung,860042f6
info,registry,people,L Poobalan,93cc9718
info,registry,people,LL Htun,ec687c3a
info,registry,people,M Corazon,0baa36e0
info,registry,people,MPP San,5bc290a2
info,registry,people,Moe Ei Phyu,34f0c9ad
info,registry,people,NK Ariani,382377a4
info,registry,people,NLKWR Dewi,d04fc4a4
info,registry,people,NPAN Sakarini,72b5decf
info,registry,people,NW Sariani,e910d955
info,registry,people,Pan Ei Phyu,9fcaeb60
info,registry,people,Peerawat Duangtip,af5820b5
info,registry,people,RD Pangestuti,63fc4b92
info,registry,people,SAN Maypriani,ad135bde
info,registry,people,SY Win,33d65ab4
info,registry,people,Sarika Prasad,8ff397fa
info,registry,people,TT Aung,57fb24e6
info,registry,people,TT Soe,59f44fde
info,registry,people,Thae Thae Po,48a372a4
info,registry,people,ZL Win,b5714cf9
info,registry,people,Zon Lin,3b492b8d
