version,2.3.0
info,balls_per_over,6
info,team,Oman
info,team,United Arab Emirates
info,team_type,international
info,gender,female
info,season,2025/26
info,date,2025/12/12
info,event,GCC Women's Twenty20 Championship Cup
info,match_id,1514515
info,match_type,T20
info,match_type_number,2594
info,overs,20
info,match_number,2
info,venue,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)
info,city,Al Amarat
info,toss_winner,Oman
info,toss_decision,bat
info,player_of_match,ER Oza
info,umpire,Muhammad Usman
info,umpire,Ridwan Parkar
info,reserve_umpire,Arfan Ghani
info,match_referee,R Mohan
info,target_overs,2,20
info,target_runs,2,64
info,winner,United Arab Emirates
info,winner_wickets,10
info,player,Oman,J Gunasekar
info,player,Oman,N Joshi
info,player,Oman,Fiza
info,player,Oman,PE Mendonca
info,player,Oman,Javed Hina
info,player,Oman,Sameera Khan
info,player,Oman,Lujaina
info,player,Oman,A Dcosta
info,player,Oman,CM Saldanha
info,player,Oman,Afida Afthab
info,player,Oman,Alifiya Sayed
info,player,United Arab Emirates,Theertha Satish
info,player,United Arab Emirates,ER Oza
info,player,United Arab Emirates,KC Thompson
info,player,United Arab Emirates,Keziah Miriam Sabin
info,player,United Arab Emirates,MD Botha
info,player,United Arab Emirates,Rinitha Rajith
info,player,United Arab Emirates,S Dharnidharka
info,player,United Arab Emirates,Al Maseera Jahangir
info,player,United Arab Emirates,UCKA Dona
info,player,United Arab Emirates,Vaishnave Mahesh
info,player,United Arab Emirates,ATS Silva
info,registry,people,A Dcosta,3a4d914f
info,registry,people,ATS Silva,9ca533cc
info,registry,people,Afida Afthab,9446598e
info,registry,people,Al Maseera Jahangir,be47cb63
info,registry,people,Alifiya Sayed,81423620
info,registry,people,Arfan Ghani,86be745f
info,registry,people,CM Saldanha,aee1bc06
info,registry,people,ER Oza,fdc6b34d
info,registry,people,Fiza,c7c60bc5
info,registry,people,J Gunasekar,e50c13a5
info,registry,people,Javed Hina,a487762e
info,registry,people,KC Thompson,e381ae69
info,registry,people,Keziah Miriam Sabin,b5b21b1d
info,registry,people,Lujaina,76a3af9b
info,registry,people,MD Botha,c2c7e58a
info,registry,people,Muhammad Usman,05b35689
info,registry,people,N Joshi,cfece11f
info,registry,people,PE Mendonca,70bab30b
info,registry,people,R Mohan,ddd995e5
info,registry,people,Ridwan Parkar,f7356421
info,registry,people,Rinitha Rajith,36ba7f0b
info,registry,people,S Dharnidharka,f8b50da3
info,registry,people,Sameera Khan,237baa2c
info,registry,people,Theertha Satish,ee3dcb3f
info,registry,people,UCKA Dona,caa99fcb
info,registry,people,Vaishnave Mahesh,31c56f40
