version,2.3.0
info,balls_per_over,6
info,team,Bhutan
info,team,Myanmar
info,team_type,international
info,gender,male
info,season,2025/26
info,date,2025/12/27
info,event,Myanmar tour of Bhutan
info,match_id,1515013
info,match_type,T20
info,match_type_number,3656
info,overs,20
info,match_number,4
info,venue,Gelephu International Cricket Ground
info,city,Gelephu
info,toss_winner,Myanmar
info,toss_decision,field
info,player_of_match,RM Dorji
info,umpire,AK Rai
info,umpire,U Dorji
info,reserve_umpire,Subas Lama
info,tv_umpire,ON Pradhan
info,target_overs,2,20
info,target_runs,2,224
info,winner,Bhutan
info,winner_runs,121
info,player,Bhutan,Namgay Thinley
info,player,Bhutan,Rohit Limbu
info,player,Bhutan,Tenjin Rabgey
info,player,Bhutan,RM Dorji
info,player,Bhutan,GK Ghalley
info,player,Bhutan,Tashi Dorji
info,player,Bhutan,T Jamtsho
info,player,Bhutan,N Chejay
info,player,Bhutan,Ugyen Dorji
info,player,Bhutan,A Mongar
info,player,Bhutan,S Yeshi
info,player,Myanmar,Pyae Phyo Wai
info,player,Myanmar,KK Lin Thu
info,player,Myanmar,Myat Thu Aung
info,player,Myanmar,H Lin Oo
info,player,Myanmar,H Lin Aung
info,player,Myanmar,Nay Lin Htun
info,player,Myanmar,Thuya Aung
info,player,Myanmar,Khin Aye
info,player,Myanmar,Swann Htet Ko Ko
info,player,Myanmar,Kaung Htet Kyaw
info,player,Myanmar,Zwe Htet Paing
info,registry,people,A Mongar,940255af
info,registry,people,AK Rai,1d70834a
info,registry,people,GK Ghalley,2d1b6dee
info,registry,people,H Lin Aung,c343a8c6
info,registry,people,H Lin Oo,2e005bfd
info,registry,people,KK Lin Thu,6cf75582
info,registry,people,Kaung Htet Kyaw,e1bd3e2e
info,registry,people,Khin Aye,ad2efd29
info,registry,people,Myat Thu Aung,cebbf3c9
info,registry,people,N Chejay,a9e63549
info,registry,people,Namgay Thinley,9c333e40
info,registry,people,Nay Lin Htun,5319f95b
info,registry,people,ON Pradhan,d41a08d6
info,registry,people,Pyae Phyo Wai,09e86895
info,registry,people,RM Dorji,3d7f02d4
info,registry,people,Rohit Limbu,6b429231
info,registry,people,S Yeshi,0c24fb7b
info,registry,people,Subas Lama,0a0c48dc
info,registry,people,Swann Htet Ko Ko,9ee21ee4
info,registry,people,T Jamtsho,c01d1c0a
info,registry,people,Tashi Dorji,0f05655d
info,registry,people,Tenjin Rabgey,1fed517a
info,registry,people,Thuya Aung,2e092d2c
info,registry,people,U Dorji,12bba2d4
info,registry,people,Ugyen Dorji,ffb65f46
info,registry,people,Zwe Htet Paing,667f3fd3
