version,2.3.0
info,balls_per_over,6
info,team,Bangladesh
info,team,Papua New Guinea
info,team_type,international
info,gender,female
info,season,2025/26
info,date,2026/01/20
info,event,Women's T20 World Cup Qualifier
info,match_id,1515212
info,match_type,T20
info,match_type_number,2628
info,overs,20
info,match_number,5
info,venue,"Tribhuvan University International Cricket Ground, Kirtipur"
info,city,Kirtipur
info,toss_winner,Papua New Guinea
info,toss_decision,field
info,player_of_match,Shorna Akter
info,umpire,S Dambanevana
info,umpire,Vijaya Mallela
info,reserve_umpire,S Redfern
info,tv_umpire,Saleema Imtiaz
info,match_referee,H Pack
info,target_overs,2,20
info,target_runs,2,169
info,winner,Bangladesh
info,winner_runs,30
info,player,Bangladesh,Dilara Akter
info,player,Bangladesh,Juairiya Ferdous
info,player,Bangladesh,Sharmin Akhter
info,player,Bangladesh,Nigar Sultana
info,player,Bangladesh,S Mostary
info,player,Bangladesh,Shorna Akter
info,player,Bangladesh,Ritu Moni
info,player,Bangladesh,Fahima Khatun
info,player,Bangladesh,Rabeya Khan
info,player,Bangladesh,Sanjida Akter Meghla
info,player,Bangladesh,Sultana Khatun
info,player,Papua New Guinea,H Doriga
info,player,Papua New Guinea,K Oala
info,player,Papua New Guinea,B Tau
info,player,Papua New Guinea,S Jimmy
info,player,Papua New Guinea,P Siaka
info,player,Papua New Guinea,N Vare
info,player,Papua New Guinea,HJ Thomas
info,player,Papua New Guinea,I Toua
info,player,Papua New Guinea,HL Tau
info,player,Papua New Guinea,D Lohia
info,player,Papua New Guinea,M Tom
info,registry,people,B Tau,3a6cbb8e
info,registry,people,D Lohia,01341439
info,registry,people,Dilara Akter,f2670a3d
info,registry,people,Fahima Khatun,558cdd64
info,registry,people,H Doriga,5aa874da
info,registry,people,H Pack,fed53c91
info,registry,people,HJ Thomas,a3034d3d
info,registry,people,HL Tau,ace63b7f
info,registry,people,I Toua,83cde44d
info,registry,people,Juairiya Ferdous,e6f05a84
info,registry,people,K Oala,df70c3f2
info,registry,people,M Tom,cebc1351
info,registry,people,N Vare,20ace887
info,registry,people,Nigar Sultana,3827f6a2
info,registry,people,P Siaka,595433d2
info,registry,people,Rabeya Khan,aaf037b1
info,registry,people,Ritu Moni,ad3940a5
info,registry,people,S Dambanevana,039923bd
info,registry,people,S Jimmy,2daa8e40
info,registry,people,S Mostary,94de63bf
info,registry,people,S Redfern,5b038989
info,registry,people,Saleema Imtiaz,d17d21d5
info,registry,people,Sanjida Akter Meghla,a6412417
info,registry,people,Sharmin Akhter,84fdd3cf
info,registry,people,Shorna Akter,89895ae1
info,registry,people,Sultana Khatun,fb0c0bcc
info,registry,people,Vijaya Mallela,85b6244a
