version,2.3.0
info,balls_per_over,6
info,team,Bangladesh
info,team,Ireland
info,team_type,international
info,gender,female
info,season,2025/26
info,date,2026/01/24
info,event,Women's T20 World Cup Qualifier
info,match_id,1515223
info,match_type,T20
info,match_type_number,2643
info,overs,20
info,match_number,16
info,venue,Mulpani Cricket Ground
info,city,Kathmandu
info,toss_winner,Bangladesh
info,toss_decision,bat
info,player_of_match,Sharmin Akhter
info,umpire,Shivani Mishra
info,umpire,Vijaya Mallela
info,reserve_umpire,Saleema Imtiaz
info,tv_umpire,BB Pradhan
info,match_referee,Reon King
info,target_overs,2,20
info,target_runs,2,154
info,winner,Bangladesh
info,winner_runs,9
info,player,Bangladesh,Dilara Akter
info,player,Bangladesh,Juairiya Ferdous
info,player,Bangladesh,Sharmin Akhter
info,player,Bangladesh,Nigar Sultana
info,player,Bangladesh,S Mostary
info,player,Bangladesh,Shorna Akter
info,player,Bangladesh,Rabeya Khan
info,player,Bangladesh,Ritu Moni
info,player,Bangladesh,Fahima Khatun
info,player,Bangladesh,Marufa Akter
info,player,Bangladesh,Nahida Akter
info,player,Ireland,A Hunter
info,player,Ireland,GH Lewis
info,player,Ireland,O Prendergast
info,player,Ireland,L Paul
info,player,Ireland,L Delany
info,player,Ireland,R Stokell
info,player,Ireland,LA McBride
info,player,Ireland,A Dalzell
info,player,Ireland,AN Kelly
info,player,Ireland,AK Maguire
info,player,Ireland,J Maguire
info,registry,people,A Dalzell,66498395
info,registry,people,A Hunter,e8fa03ed
info,registry,people,AK Maguire,f888a374
info,registry,people,AN Kelly,397369e0
info,registry,people,BB Pradhan,8603d942
info,registry,people,Dilara Akter,f2670a3d
info,registry,people,Fahima Khatun,558cdd64
info,registry,people,Fargana Hoque,6e96c956
info,registry,people,GH Lewis,1b9d1579
info,registry,people,J Maguire,1b1c23bb
info,registry,people,Juairiya Ferdous,e6f05a84
info,registry,people,L Delany,b4f73b44
info,registry,people,L Paul,07248d8e
info,registry,people,LA McBride,9bd0d19d
info,registry,people,Marufa Akter,a50797a4
info,registry,people,Nahida Akter,66078174
info,registry,people,Nigar Sultana,3827f6a2
info,registry,people,O Prendergast,d8f20ba5
info,registry,people,R Stokell,def7b1bb
info,registry,people,Rabeya Khan,aaf037b1
info,registry,people,Reon King,20fbf68c
info,registry,people,Ritu Moni,ad3940a5
info,registry,people,S Mostary,94de63bf
info,registry,people,Saleema Imtiaz,d17d21d5
info,registry,people,Sharmin Akhter,84fdd3cf
info,registry,people,Shivani Mishra,2982a0c7
info,registry,people,Shorna Akter,89895ae1
info,registry,people,Vijaya Mallela,85b6244a
