version,2.3.0
info,balls_per_over,6
info,team,United States of America
info,team,Netherlands
info,team_type,international
info,gender,female
info,season,2025/26
info,date,2026/01/28
info,event,Women's T20 World Cup Qualifier
info,match_id,1515230
info,match_type,T20
info,match_type_number,2653
info,overs,20
info,match_number,23
info,venue,"Tribhuvan University International Cricket Ground, Kirtipur"
info,city,Kirtipur
info,toss_winner,United States of America
info,toss_decision,bat
info,player_of_match,HDJ Siegers
info,umpire,K Klaaste
info,umpire,S Redfern
info,reserve_umpire,BB Pradhan
info,tv_umpire,Shathira Jakir
info,match_referee,Reon King
info,target_overs,2,12
info,target_runs,2,70
info,winner,Netherlands
info,winner_runs,21
info,method,D/L
info,player,United States of America,CR Pagydyala
info,player,United States of America,GC Bhogle
info,player,United States of America,E Claridge
info,player,United States of America,IM Vaghela
info,player,United States of America,RP Singh
info,player,United States of America,TG Norris
info,player,United States of America,AI Chudasama
info,player,United States of America,Pooja Ganesh
info,player,United States of America,T Chopra
info,player,United States of America,G Kodali
info,player,United States of America,S Immadi
info,player,Netherlands,HDJ Siegers
info,player,Netherlands,P Molkenboer
info,player,Netherlands,B de Leede
info,player,Netherlands,SL Kalis
info,player,Netherlands,R Rijke
info,player,Netherlands,IJR Zwilling
info,player,Netherlands,C de Lange
info,player,Netherlands,S Khurana
info,player,Netherlands,S Siegers
info,player,Netherlands,F Overdijk
info,player,Netherlands,HWA Landheer
info,registry,people,AI Chudasama,9414a81c
info,registry,people,B de Leede,b3020075
info,registry,people,BB Pradhan,8603d942
info,registry,people,C de Lange,c6a019f5
info,registry,people,CR Pagydyala,d7c02672
info,registry,people,E Claridge,d8c6a647
info,registry,people,F Overdijk,022745d5
info,registry,people,G Kodali,f606177e
info,registry,people,GC Bhogle,a1965ce2
info,registry,people,HDJ Siegers,6d48df01
info,registry,people,HWA Landheer,a6ec88f4
info,registry,people,IJR Zwilling,47b32a5a
info,registry,people,IM Vaghela,8d62fc14
info,registry,people,K Klaaste,6cc1d918
info,registry,people,P Molkenboer,fa9db243
info,registry,people,Pooja Ganesh,a186b627
info,registry,people,R Rijke,42e4b276
info,registry,people,RP Singh,0ab3c788
info,registry,people,Reon King,20fbf68c
info,registry,people,S Immadi,a6dd06d6
info,registry,people,S Khurana,9a9a056d
info,registry,people,S Redfern,5b038989
info,registry,people,S Siegers,9a58f2c8
info,registry,people,SL Kalis,2b150c6b
info,registry,people,Shathira Jakir,6b992a6f
info,registry,people,T Chopra,73df1fe8
info,registry,people,TG Norris,8ae7bb3e
