version,2.3.0
info,balls_per_over,6
info,team,Cambodia
info,team,Indonesia
info,team_type,international
info,gender,male
info,season,2025/26
info,date,2025/12/26
info,event,Cambodia tour of Indonesia
info,match_id,1517208
info,match_type,T20
info,match_type_number,3654
info,overs,20
info,match_number,6
info,venue,Udayana Cricket Ground
info,city,Bali
info,toss_winner,Indonesia
info,toss_decision,field
info,umpire,Riaz Ur Rahman
info,umpire,Yousuf Wadu
info,match_referee,IKAW Kusuma
info,target_overs,2,11
info,target_runs,2,103
info,winner,Indonesia
info,winner_wickets,3
info,player,Cambodia,Shah Abrar Hussain
info,player,Cambodia,E Beukes
info,player,Cambodia,Marcelle Hanekom
info,player,Cambodia,Luqman Butt
info,player,Cambodia,GC Murtaza
info,player,Cambodia,NT Gireesh
info,player,Cambodia,Pel Vannak
info,player,Cambodia,Mongdara Sok
info,player,Cambodia,Md Shuayeb
info,player,Cambodia,Muhammad Naeem
info,player,Cambodia,Nirmaljit Singh
info,player,Indonesia,KD Kesuma
info,player,Indonesia,Anjar Tadarus
info,player,Indonesia,IK Gamantika
info,player,Indonesia,DJ Hawoe
info,player,Indonesia,R Ramadhasyena
info,player,Indonesia,AA Rahayu
info,player,Indonesia,A Alexander
info,player,Indonesia,Vineet Shah
info,player,Indonesia,Komang Putra
info,player,Indonesia,F Banunaek
info,player,Indonesia,IGTP Wiguna
info,registry,people,A Alexander,ef6d6883
info,registry,people,AA Rahayu,2327fdc7
info,registry,people,Anjar Tadarus,72275237
info,registry,people,DJ Hawoe,a62f55ba
info,registry,people,E Beukes,fbb8cf87
info,registry,people,F Banunaek,3c8faed4
info,registry,people,GC Murtaza,6cc4d322
info,registry,people,IGTP Wiguna,95f0262b
info,registry,people,IK Gamantika,4d7c5b56
info,registry,people,IKAW Kusuma,7ae108a8
info,registry,people,KD Kesuma,4b349dc0
info,registry,people,Komang Putra,083ffc5d
info,registry,people,Luqman Butt,7a6decc8
info,registry,people,Marcelle Hanekom,dd26ae6e
info,registry,people,Md Shuayeb,66000a39
info,registry,people,Mongdara Sok,9c5c3408
info,registry,people,Muhammad Naeem,993281c2
info,registry,people,NT Gireesh,32190239
info,registry,people,Nirmaljit Singh,cf719840
info,registry,people,Pel Vannak,4a6dbc50
info,registry,people,R Ramadhasyena,e1779851
info,registry,people,Riaz Ur Rahman,476a220a
info,registry,people,Shah Abrar Hussain,6ec13131
info,registry,people,Vineet Shah,ad85a036
info,registry,people,Yousuf Wadu,cf41005c
