version,2.3.0
info,balls_per_over,6
info,team,Ireland
info,team,Italy
info,team_type,international
info,gender,male
info,season,2025/26
info,date,2026/01/26
info,event,Ireland tour of United Arab Emirates
info,match_id,1519138
info,match_type,T20
info,match_type_number,3670
info,overs,20
info,match_number,3
info,venue,"7he Sevens Stadium, Dubai"
info,city,Dubai
info,toss_winner,Italy
info,toss_decision,field
info,umpire,Aasif Iqbal
info,umpire,Shiju Sam
info,reserve_umpire,Akbar Ali
info,match_referee,AJ Pycroft
info,target_overs,2,20
info,target_runs,2,155
info,winner,Italy
info,winner_wickets,4
info,player,Ireland,PR Stirling
info,player,Ireland,GR Adair
info,player,Ireland,HT Tector
info,player,Ireland,L Tucker
info,player,Ireland,BF Calitz
info,player,Ireland,GH Dockrell
info,player,Ireland,GJ Delany
info,player,Ireland,MR Adair
info,player,Ireland,BJ McCarthy
info,player,Ireland,MJ Humphreys
info,player,Ireland,CA Young
info,player,Italy,J Mosca
info,player,Italy,AJ Mosca
info,player,Italy,JT Smuts
info,player,Italy,WL Madsen
info,player,Italy,HJ Manenti
info,player,Italy,GP Meade
info,player,Italy,G Stewart
info,player,Italy,M Campopiano
info,player,Italy,Jaspreet Singh
info,player,Italy,Ali Hasan
info,player,Italy,CJPF Kalugamage
info,registry,people,AJ Mosca,19c56e6e
info,registry,people,AJ Pycroft,685d3f80
info,registry,people,Aasif Iqbal,42c41e1a
info,registry,people,Akbar Ali,e753931d
info,registry,people,Ali Hasan,cae17490
info,registry,people,BF Calitz,24ad97e7
info,registry,people,BJ McCarthy,3766056b
info,registry,people,CA Young,bd0a4a7d
info,registry,people,CJPF Kalugamage,31c04b7b
info,registry,people,G Stewart,a77472dc
info,registry,people,GH Dockrell,99cddc5e
info,registry,people,GJ Delany,33b3d2df
info,registry,people,GP Meade,3957a70a
info,registry,people,GR Adair,4ec96094
info,registry,people,HJ Manenti,0e56c514
info,registry,people,HT Tector,59ea70a4
info,registry,people,J Mosca,8f02f6a8
info,registry,people,JT Smuts,42172c3c
info,registry,people,Jaspreet Singh,d76ab352
info,registry,people,L Tucker,3979b5e0
info,registry,people,M Campopiano,26d80a9d
info,registry,people,MJ Humphreys,2c54c49b
info,registry,people,MR Adair,fc55ec67
info,registry,people,PR Stirling,cf494ffe
info,registry,people,Shiju Sam,1e2f3eae
info,registry,people,WL Madsen,86e0f3f0
